#{"t_start": 1713207320.627823, "env_id": "None"}
r,l,t
-104.645615,40,6.893349
-87.663332,40,13.5815
-79.39493,40,20.643282
-110.969551,40,27.634432
-96.8982,40,34.200176
-99.018503,40,41.322786
-118.410999,40,49.160929
-104.841716,40,55.446083
-100.963038,40,61.53197
-102.189296,40,69.24886
-94.043794,40,76.338242
-107.679393,40,84.958407
-69.914169,40,91.670086
-75.073682,28,96.662511
-53.524473,23,100.549798
-107.942378,40,110.140565
-89.859301,40,116.792142
-136.826487,40,127.491123
-125.406311,40,134.50847
-64.54612,40,141.981378
-106.819831,40,152.521739
-125.962192,40,160.05398
-7.740233,7,161.707535
-53.577831,40,168.377011
-33.123679,26,173.777243
-102.31868,40,181.162531
-99.248768,40,190.507395
-81.279755,40,197.37349
-55.065085,40,204.414537
-89.972718,40,211.621926
-36.999376,27,217.059325
-122.674065,40,223.104204
-31.850731,23,227.077419
-61.676688,23,231.064333
-87.251916,38,237.868816
-108.441944,40,244.415935
-42.320316,32,249.513031
-28.514446,29,254.509222
-39.64696,19,258.406729
-77.279823,40,265.193139
-67.273434,32,271.284981
-85.003914,40,277.348585
-9.810048,10,279.134186
-60.741753,40,286.075371
-64.773755,40,292.552185
-69.759628,40,298.645495
-27.528431,20,302.084138
-33.858439,25,306.036746
-50.42152,40,313.196481
-16.058932,8,314.54304
-93.386138,40,321.082175
-57.303043,40,327.661425
-63.643028,40,333.925327
-65.416866,40,340.568128
-22.957761,19,343.384216
-35.360894,23,347.606284
-70.773637,40,353.548456
-80.484552,40,359.586771
-78.718913,40,366.235981
-53.597673,40,373.089281
-29.050423,20,376.565267
-30.060891,9,378.232275
-35.980147,21,381.60925
-24.008263,25,385.98125
-23.218515,17,388.698355
-55.102923,40,395.674645
-39.091027,40,402.385193
-44.620882,40,409.111246
-22.217079,21,412.647962
-19.512767,18,415.760675
-51.270142,40,422.368307
-44.40929,39,428.800913
-39.243045,40,434.978913
-30.51347,30,439.703577
-27.656697,34,445.497459
-7.670793,10,447.260475
-26.095672,27,451.809365
-7.002427,9,453.403053
-41.065217,40,459.694759
-5.160673,8,461.457342
-36.157772,40,467.276593
-35.589773,40,473.727739
-6.91912,10,475.557891
-9.381916,8,477.132418
-45.138299,40,483.239587
-5.868457,7,484.916149
-6.967627,8,486.247819
-47.858161,40,492.200942
-36.578082,37,497.830269
-40.280391,40,503.419507
-13.461089,14,505.624253
-9.17693,11,507.722544
-15.131988,12,509.914283
-28.158674,38,516.033868
-17.658439,8,517.880953
-12.295515,12,519.978324
-21.811081,21,523.523441
-17.998461,19,526.986046
-32.836844,40,533.770109
-15.34937,20,537.42283
-24.201957,11,539.569021
-13.164905,15,542.222244
-27.476014,40,548.597671
-3.500684,5,549.576657
-7.676939,12,552.225342
-5.916676,9,553.766568
-12.755806,9,555.902252
-34.80559,15,558.649665
-10.62522,4,559.774729
-14.644668,16,561.977812
-5.892169,9,563.478705
-13.721432,11,566.14824
-5.914406,10,567.949428
-6.510085,9,569.525781
-33.675441,35,575.766726
-11.165415,18,578.621458
-8.985709,16,581.034763
-16.365097,19,584.539705
-4.147938,5,585.55203
-7.826366,9,586.952446
-8.940605,15,589.808933
-11.044551,10,591.500865
-9.919063,11,593.565072
-8.904649,11,595.504028
-3.288403,6,596.797954
-5.752129,8,598.361006
-7.520673,11,600.40651
-5.407906,7,601.876943
-8.950776,5,602.992911
-12.766339,10,604.72937
-3.261111,7,606.21696
-8.085288,11,608.339664
-20.066806,25,612.711956
-6.583154,11,614.741964
-4.222065,7,616.251394
-12.861851,10,618.316657
-8.984061,11,620.358828
-5.424976,7,621.860524
-10.051104,6,623.178799
-5.736881,12,625.238068
-7.456515,11,627.046671
-4.141116,7,628.653897
-6.513618,5,629.831536
-7.481103,5,631.071921
-6.228863,7,632.854042
-8.549032,7,634.495763
-6.847291,7,636.00508
