#{"t_start": 1713195542.669321, "env_id": "None"}
r,l,t
-29.454365,10,24.260261
-13.302184,10,25.814225
-25.565062,10,27.553709
-6.883102,10,28.810973
-28.647803,10,29.933413
-26.008462,10,31.19638
-10.626947,10,32.364893
-10.33731,10,33.656891
-10.348872,10,35.110316
-30.693661,10,36.250231
-24.852742,10,37.182922
-36.119835,10,38.250645
-33.973891,10,39.508041
-23.725091,10,40.649652
-16.019118,10,41.88953
-6.950377,10,43.288797
-38.649393,10,44.213684
-8.725383,10,45.297914
-6.066109,9,46.658272
-6.719455,10,47.891423
-6.50822,10,49.030776
-15.800526,10,50.385765
-32.91089,10,51.408157
-31.875992,10,52.73881
-8.732843,10,53.829206
-24.47166,10,55.127383
-35.120075,10,56.451335
-7.577999,10,57.744246
-40.774181,10,59.083685
-10.717094,10,60.243631
-9.303702,10,61.595542
-34.419111,10,62.837845
-19.541297,10,63.929646
-4.286382,10,65.119234
-5.615081,10,66.438372
-4.94057,9,67.650871
-10.66304,10,68.70662
-31.090456,10,69.985814
-43.451616,10,71.18354
-7.674587,10,72.407802
-7.373804,10,73.881004
-7.155033,10,75.21308
-11.059867,10,76.52221
-7.564099,10,77.844723
-6.468277,10,79.141307
-14.475794,10,80.35586
-6.152478,9,81.672296
-36.37045,9,83.033128
-7.125231,10,84.237529
-7.990759,10,85.630672
-6.769273,10,87.041965
-20.034722,8,88.290765
-21.60007,10,89.438265
-10.064382,8,90.702228
-10.425201,10,92.002893
-9.097425,10,93.305366
-29.668979,10,94.643976
-6.591421,10,95.80843
-11.063552,10,97.13341
-21.541206,8,98.241768
-23.335225,7,99.414367
-7.939097,10,100.871263
-9.511885,8,102.135228
-19.954322,10,103.406566
-4.734173,8,104.68216
-23.735749,7,106.032977
-10.415471,10,107.592109
-19.825025,10,108.935195
-9.355089,10,110.045742
-10.223946,6,111.035177
-9.093242,10,112.228989
-20.662115,10,113.599161
-7.790232,10,114.880301
-6.782571,10,116.130076
-5.179165,9,117.499289
-10.827499,10,118.906971
-15.927217,9,120.113207
-7.264376,10,121.427889
-16.687776,10,122.931635
-9.668057,10,124.070493
-20.529063,6,125.080373
-22.339545,10,126.593632
-8.764303,10,127.826244
-7.633801,10,129.168479
-6.941421,10,130.551919
-5.969303,10,131.767809
-20.434608,10,133.195185
-7.792971,10,134.548205
-4.33547,9,135.960531
-15.094199,10,137.393942
-9.180267,10,138.641714
-13.293449,10,140.278512
-6.328179,10,141.570001
-3.605274,7,142.760091
-4.933602,8,144.283059
-8.530036,10,145.481848
-11.479783,10,146.698261
-17.372875,10,148.042239
-9.174316,10,149.028861
-10.042831,10,150.372716
-14.661113,5,151.291936
-7.656951,10,152.943198
-7.759854,10,154.357992
-5.777743,10,155.576874
-8.149131,10,156.853657
-15.932436,10,158.094188
-4.70391,9,159.435958
-7.275937,7,160.524212
-3.951508,7,161.911914
-17.012553,10,163.434643
-9.209416,10,164.580711
-15.289652,5,165.569699
-16.105695,10,167.167717
-12.232687,10,168.409074
-10.365669,10,169.519669
-7.202674,10,170.811946
-3.310335,5,171.792761
-3.897571,5,173.004872
-4.65508,7,174.430103
-10.255554,10,175.697209
-14.902196,10,177.140735
-15.291132,10,178.428221
-5.546677,8,180.001815
-6.309256,10,181.546219
-6.359564,10,182.975024
-19.273282,5,183.875517
-3.844675,7,185.193781
-3.469412,7,186.475401
-4.121635,7,187.834941
-3.843504,7,189.204458
-3.520954,6,190.359256
-4.265917,6,191.68001
-10.920255,10,192.670053
-11.608667,5,193.686275
-11.911391,10,194.874145
-6.79987,5,196.086717
-12.508565,10,197.391272
-10.691881,10,198.521557
-2.770611,4,199.485402
-8.614696,10,200.932083
-11.148952,10,202.297159
-15.506255,10,203.82663
-17.111858,10,205.248125
-17.327837,10,206.54827
-3.198179,6,207.739474
-2.260318,5,208.808966
-14.302112,10,210.215086
-11.085735,10,211.551744
-4.770786,8,213.186837
-16.494255,10,214.689348
-9.349893,10,215.999741
-11.556203,10,217.541471
-1.731154,4,218.461146
-3.498327,6,219.800257
-19.676885,10,221.296627
-8.94355,7,222.677727
-16.962388,10,223.958892
-13.730503,10,225.724557
-10.006236,10,227.053151
-12.680329,10,228.380182
-2.640748,5,229.638106
-11.448891,10,231.185488
-14.775312,10,232.214388
-9.51335,10,233.610926
-8.275569,10,234.839794
-18.855001,5,235.796995
-10.10719,10,237.368638
-7.640691,10,238.621329
-3.153466,6,239.775303
-8.001563,10,241.228726
-12.532638,5,242.434883
-2.527554,5,243.624578
-7.659455,10,244.810122
-8.033842,10,246.125047
-7.378037,5,247.238443
-6.580862,10,248.510248
-9.338046,10,249.861536
-3.282393,6,251.190799
-14.687362,10,252.740447
-13.903287,10,254.363818
-15.575417,10,255.815111
-4.104691,4,256.742054
-2.2899,4,257.777743
-1.917802,4,258.672014
-7.707135,4,259.635269
-2.715971,5,260.720209
-6.749801,10,262.137927
-11.437356,10,263.974594
-3.969228,6,265.435336
-12.170153,10,267.215123
-5.890951,10,268.551988
-2.106361,5,269.746116
-15.357271,10,271.084552
-10.874669,3,271.806198
-2.228852,5,273.052081
-7.398035,6,274.166769
-2.964053,6,275.430743
-3.008321,6,276.681346
-3.291438,6,278.011445
-1.904207,4,279.140096
-7.598467,10,280.574271
-6.908821,5,281.741613
-2.658569,5,283.043748
-13.388612,10,284.598738
-9.27717,10,286.231442
-15.754536,10,287.740777
-6.623945,10,289.008118
-16.390144,10,290.680534
-12.013213,10,292.553086
-2.163314,4,293.559054
-2.756848,5,294.854331
-11.35228,4,295.850663
