#{"t_start": 1713876172.9212952, "env_id": "None"}
r,l,t
-104.645615,40,7.888525
-87.663332,40,14.613086
-79.39493,40,22.213083
-110.969551,40,30.750334
-96.8982,40,38.849163
-99.018503,40,47.710794
-118.410999,40,57.450606
-104.841716,40,64.905126
-100.963038,40,71.889648
-102.189296,40,81.042601
-94.043794,40,89.846459
-107.679393,40,105.605507
-69.914169,40,117.370578
-75.073682,28,125.19091
-53.524473,23,131.103964
-107.942378,40,144.750031
-89.859301,40,154.357431
-136.826487,40,167.229849
-125.406311,40,175.772327
-64.54612,40,184.145766
-106.819831,40,196.205588
-125.962192,40,204.867812
-7.740233,7,206.685353
-53.577831,40,214.35464
-33.123679,26,220.596052
-102.31868,40,229.420115
-99.248768,40,239.984904
-81.279755,40,247.735037
-55.065085,40,255.358878
-89.972718,40,263.328459
-36.999376,27,269.137728
-122.674065,40,275.588158
-31.850731,23,279.991783
-61.676688,23,284.284971
-87.251916,38,291.359023
-108.441944,40,298.826632
-42.320316,32,305.157331
-28.514446,29,310.295022
-39.64696,19,314.349106
-77.279823,40,322.099416
-67.273434,32,328.477285
-85.003914,40,334.890235
-9.810048,10,336.950104
-60.741753,40,344.214034
-64.773755,40,351.076318
-69.759628,40,357.625717
-27.528431,20,361.270866
-33.858439,25,365.41194
-50.42152,40,372.959156
-16.058932,8,374.426495
-93.386138,40,381.320706
-57.303043,40,389.896003
-63.643028,40,396.912741
-65.416866,40,404.942385
-22.957761,19,408.278772
-35.360894,23,412.880555
-70.773637,40,419.164459
-80.484552,40,425.653182
-78.718913,40,432.643845
-53.597673,40,439.736949
-29.050423,20,443.309636
-30.060891,9,445.202447
-35.980147,21,449.085191
-24.008263,25,454.486216
-23.218515,17,457.563768
-55.102923,40,465.184237
-39.091027,40,472.594787
-44.620882,40,480.32318
-22.217079,21,484.351165
-19.512767,18,488.031148
-51.270142,40,495.235028
-44.40929,39,502.657111
-39.243045,40,509.812177
-30.51347,30,514.926904
-27.656697,34,521.042718
-7.670793,10,522.874792
-26.095672,27,527.756226
-7.002427,9,529.443139
-41.065217,40,536.411639
-5.160673,8,538.490048
-36.157772,40,544.995812
-35.589773,40,552.133107
-6.91912,10,554.099034
-9.381916,8,555.764105
-45.138299,40,562.934826
-5.868457,7,564.942353
-6.967627,8,566.399342
-47.858161,40,572.727087
-36.578082,37,579.017974
-40.280391,40,585.537366
-13.461089,14,588.048891
-9.17693,11,590.417068
-15.131988,12,592.886564
-28.158674,38,599.440406
-17.658439,8,601.449996
-12.295515,12,603.874305
-21.811081,21,608.100892
-17.998461,19,612.569113
-32.836844,40,620.96541
-15.34937,20,624.93677
-24.201957,11,627.113933
-13.164905,15,629.952623
-27.476014,40,637.278698
-3.500684,5,638.264872
-7.676939,12,640.913212
-5.916676,9,642.592737
-12.755806,9,644.87051
-34.80559,15,647.803361
-10.62522,4,649.01178
-14.644668,16,651.515323
-5.892169,9,653.223771
-13.721432,11,656.219968
-5.914406,10,658.14407
-6.510085,9,659.860021
-33.675441,35,666.822665
-11.165415,18,669.745566
-8.985709,16,672.39689
-16.365097,19,676.496762
-4.147938,5,677.680962
-7.826366,9,679.400525
-8.940605,15,682.702207
-11.044551,10,684.454553
-9.919063,11,686.580836
-8.904649,11,688.572857
-3.288403,6,689.922523
-5.752129,8,691.697354
-7.520673,11,693.945881
-5.407906,7,695.506015
-8.950776,5,696.63049
-12.766339,10,698.534994
-3.261111,7,700.22876
-8.085288,11,702.727886
-20.066806,25,707.60241
-6.583154,11,709.694961
-4.222065,7,711.202692
-12.861851,10,713.289402
-8.984061,11,715.399415
-5.424976,7,717.026856
-10.051104,6,718.479483
-5.736881,12,720.961122
-7.456515,11,723.090883
-4.141116,7,724.917695
-6.513618,5,726.197246
-7.481103,5,727.539936
-6.228863,7,729.488177
-8.549032,7,731.267822
-6.847291,7,732.886655
-14.155103,24,737.374782
-2.91947,7,739.174825
-7.827525,4,740.46226
-7.247366,13,743.619708
-6.837988,5,745.218757
-5.092475,10,747.420207
-11.263143,6,749.139508
-4.150862,6,750.763278
-1.233384,4,752.04955
-7.4714,5,753.535655
-6.476916,8,755.419879
-3.800208,8,757.263504
-3.078928,6,758.792774
-6.206265,6,760.421283
-5.76218,6,761.909897
-10.593696,9,764.002696
-3.547765,6,765.299951
-4.81252,6,766.559421
-4.45418,9,768.062279
-4.049905,7,769.279521
-11.136328,13,771.916696
-2.324773,5,773.220861
-8.756885,6,774.661161
-3.630825,6,776.077261
-3.641349,7,777.584821
-10.132918,6,779.016755
-14.333534,5,780.095043
-7.061885,4,781.185102
-10.576607,8,782.838744
-14.464879,7,784.558615
-7.440569,5,785.765027
-5.560748,12,787.868694
-8.947998,4,788.967285
-2.740727,5,790.249827
-12.841378,11,792.334733
-15.994655,6,793.722311
-4.793358,7,795.115184
-2.671719,5,796.236412
-8.500933,21,799.641042
-5.178714,9,801.96749
-12.176772,6,803.5816
-6.180576,12,806.11763
-14.922542,6,807.47418
-2.800053,5,808.714678
-6.586891,4,809.793083
-4.369579,6,811.301969
-3.399014,4,812.294342
-10.265423,6,813.653826
-4.934636,6,815.150117
-15.933847,20,818.337878
-3.952161,8,819.856337
-2.612849,5,821.137069
-11.609023,5,822.449228
-9.493851,7,823.767517
-15.519122,4,824.965711
-2.737064,7,826.16972
-8.681412,5,827.440035
-10.141866,8,828.953893
-2.975452,6,830.181298
-14.916406,6,831.514538
-1.704289,4,832.625437
-6.457186,5,833.929389
-9.988307,4,834.906742
-4.092396,11,837.335063
-2.234273,5,838.534782
-2.255718,5,839.758144
-3.469965,7,841.376512
-3.568654,7,842.917241
-5.245792,11,844.8283
-1.139609,4,845.875026
-6.294675,7,847.492315
-7.332497,6,848.955916
-2.985893,7,850.335235
-7.144645,6,851.852169
-2.509523,6,853.186429
-1.37095,5,854.290548
-1.88342,6,855.644836
-3.012859,7,857.08539
-1.846577,4,858.195395
-2.755861,5,859.383561
-10.557323,4,860.377376
-4.938625,7,861.938613
-2.383299,6,863.365715
-3.202719,8,865.192162
-3.17082,10,866.744006
-1.161949,4,867.775312
-2.73846,5,869.152313
-4.911888,11,871.060305
-2.79856,5,872.43039
-12.721856,5,873.788244
-1.6264,4,874.878617
-10.736368,9,876.669757
-6.965678,3,877.535585
-2.905323,6,878.88521
-5.536006,7,880.107932
-2.788381,6,881.510066
-4.262061,4,882.566589
-4.618313,6,883.985931
-2.353501,5,885.06627
-9.129299,5,886.388543
-6.809222,4,887.389461
-5.603321,8,889.019875
-2.009929,6,890.21627
-1.559948,5,891.318444
-3.07512,6,892.519668
-11.043962,6,893.927392
-2.618133,6,895.368595
-4.580942,13,897.275226
-7.453463,4,898.501055
-7.031918,4,899.728165
-11.375464,5,900.883507
-1.717248,4,902.01559
-12.367389,6,903.174682
-6.904796,3,904.05106
-4.116721,12,905.785674
-10.812046,5,907.060015
-7.638313,5,908.395006
-7.850706,6,909.948824
-3.046228,8,911.550548
-1.979636,4,912.626299
