#{"t_start": 1713192462.5761878, "env_id": "None"}
r,l,t
-35.232758,10,2.368597
-9.720763,10,4.509523
-15.727875,10,6.356656
-22.103534,10,8.194892
-25.646298,10,11.302209
-23.281717,10,13.120948
-20.683118,10,14.717815
-18.138768,10,16.824784
-26.305285,10,19.121882
-28.336098,10,21.113421
-26.107735,10,23.012255
-26.721149,10,25.022964
-27.18867,10,28.118916
-24.115052,10,30.765062
-19.319225,10,32.923511
-15.922691,10,34.687
-25.649518,10,36.924295
-28.501704,10,38.598534
-27.573329,10,40.837608
-26.385972,10,42.425283
-15.857542,10,44.176347
-26.548318,10,46.432464
-26.222247,10,48.678833
-23.367799,10,50.635706
-19.222654,10,52.169473
-21.163729,10,54.004978
-25.810457,10,55.853131
-16.210923,10,57.873284
-27.464645,10,59.912011
-21.1899,10,61.768241
-25.579365,10,64.318228
-29.703255,10,66.984107
-26.201468,10,69.916416
-23.298649,10,71.723832
-27.360118,10,73.262434
-20.536134,10,75.233291
-21.309804,10,77.040877
-24.687781,10,78.853749
-26.772139,10,81.174075
-26.058572,10,82.88357
-22.601658,10,85.34186
-10.063583,10,87.358107
-33.298974,10,89.637382
-25.959273,10,91.766187
-25.752083,10,94.174071
-24.737294,10,96.278342
-26.030068,10,98.033173
-23.13497,10,100.365889
-18.961931,10,101.964569
-25.501581,10,103.557385
-21.069778,10,105.222942
-27.373362,10,107.727414
-15.65813,10,109.523752
-16.852385,10,111.177042
-25.616104,10,112.886819
-23.395208,10,114.691535
-18.28698,10,116.236181
-27.119551,10,119.755754
-19.328536,10,121.173125
-27.727237,10,123.047705
-19.675219,10,124.684823
-26.25015,10,127.139794
-25.609991,10,129.227589
-12.131781,10,131.012551
-18.871054,10,132.951099
-21.212947,10,134.705464
-17.153686,10,136.36254
-25.128412,10,138.944991
-20.843815,10,140.964911
-15.005956,10,142.577423
-19.549443,10,144.115378
-29.931476,10,146.044546
-26.072457,10,147.987483
-29.076256,10,149.753009
-26.509096,10,151.861824
-8.15652,8,153.545698
-19.065513,10,155.269154
-33.919125,10,156.964196
-25.083,10,158.527436
-12.50861,10,160.373263
-13.207907,10,162.689116
-24.468937,10,164.339854
-22.965726,10,166.457116
-17.141526,10,168.262651
-19.757084,10,169.972471
-17.717076,10,172.146514
-24.212118,10,174.070118
-20.667816,10,176.17423
-14.299125,10,178.091273
-27.169725,10,179.584663
-13.869118,10,181.160185
-19.044467,10,182.93342
-23.390223,10,184.785507
-24.828435,10,186.886017
-9.39416,10,188.901647
-9.567504,10,190.630698
-24.680643,10,192.635327
-13.857744,10,194.601988
-25.354888,10,196.571608
-14.910297,10,198.222251
-25.827283,10,200.158313
-22.446977,10,202.202992
-14.92843,10,203.948096
-27.279374,10,206.224269
-26.691219,10,208.454601
-22.638714,9,210.10123
-36.226154,10,212.109913
-15.660277,10,213.418466
-14.1026,10,215.149708
-30.278171,10,216.972005
-14.321998,10,218.599488
-25.621051,10,220.449517
-25.621725,10,222.246708
-12.409531,10,223.804669
-18.338978,10,225.566716
-12.482736,10,227.480737
-11.627335,10,229.472115
-13.323496,7,231.026325
-15.605813,10,232.700475
-28.718666,10,234.358085
-18.036582,10,236.031084
-19.251083,10,237.862182
-24.95671,10,239.495181
-8.037452,10,241.353987
-28.726796,10,243.546152
-11.225507,10,245.096386
-25.05701,10,247.174996
-21.583039,10,248.646773
-3.245516,6,249.913163
-26.42237,10,251.97922
-23.832817,10,254.003236
-26.711586,10,255.569633
-14.619593,10,257.334011
-19.191323,10,259.314535
-27.736053,10,261.073765
-18.294857,9,262.725309
-18.276708,10,264.539208
-33.566833,10,266.248492
-29.510462,10,267.865122
-16.070374,10,269.776554
-13.901434,10,271.233637
-11.358123,10,273.060148
-25.472803,10,274.928906
-20.064791,10,276.744608
-24.026005,10,278.071092
-17.630454,10,279.800016
-8.43499,10,281.699033
-24.859045,10,283.810924
-14.869858,10,285.512219
-30.009871,10,287.321108
-12.123503,10,289.188949
-26.52237,10,290.86585
-15.061004,10,292.513632
-36.175588,10,294.444504
-13.587555,10,296.027923
