#{"t_start": 1715762824.3744938, "env_id": "None"}
r,l,t,num_wraps,c
-106.879842,60,1.520712,0.0,0
-100.465625,60,3.64748,0.0,0
-93.82649,60,5.365286,0.0,0
-90.529091,60,6.991504,0.0,0
-83.60342,60,8.536107,0.0,0
-110.682918,60,10.107403,0.0,0
-100.347406,60,11.870386,0.0,0
-98.780853,60,13.581789,0.0,0
-96.901125,60,15.229779,0.0,0
-97.104131,60,16.97214,0.0,0
-86.077212,60,18.645471,0.1493290655842469,2
-83.003397,60,20.443235,0.0,3
-89.010782,60,22.105439,0.0,0
-98.821931,60,23.887826,0.0,0
-101.00323,60,25.589628,0.0,0
-101.35734,60,28.653507,0.0,0
-98.99399,60,30.724636,0.0,0
-78.380576,60,32.617559,0.0,0
-94.204117,60,35.006499,0.0,0
-102.018434,60,36.523445,0.0,0
-103.210579,60,38.02914,0.0,0
-92.682624,60,39.443264,0.0,0
-92.250213,60,40.893407,0.0,0
-106.396373,60,42.156782,0.0,0
-94.093962,60,43.500395,0.0,0
-94.826989,60,44.836043,0.0,0
-97.695934,60,46.211862,0.0,0
-84.721065,60,47.606784,0.0,0
-96.690076,60,48.898999,0.0,0
-82.944998,60,50.275864,0.0,1
-81.258007,60,51.781638,0.0,0
-92.951639,60,53.227464,0.0,0
-86.372571,60,54.697991,0.0,0
-85.19329,60,56.135982,0.0,0
-82.206864,60,57.549382,0.08093725614410885,0
-89.074477,60,58.957918,0.0,0
-89.113807,60,60.356737,0.0,0
-85.963499,60,61.695361,0.0,1
-82.397117,60,63.101839,0.0,1
-90.181573,60,64.514783,0.0,0
-81.46117,60,65.940052,0.0,0
-85.444842,60,67.334907,0.0,0
-35.511705,27,68.057351,0.7536084649696841,1
-86.86,60,69.418781,0.0,0
-101.089047,60,70.832132,0.0,0
-94.711751,60,72.20061,0.0,0
-97.604639,60,73.584352,0.0,1
-89.407948,60,74.970619,0.0,0
-81.487357,60,76.379351,0.0,0
-92.624095,60,77.812423,0.0,0
-79.472687,60,79.218402,0.0,0
-86.835126,60,80.661064,0.0,0
-85.252299,60,81.99268,0.0,0
-86.598461,60,83.421119,0.0,0
-88.289884,60,84.820946,0.0,0
-88.367837,60,86.185769,0.0,0
-84.832964,60,87.600694,0.0,2
-86.478433,60,89.004783,0.0,0
-84.719004,60,90.372539,0.0,0
-81.87381,60,91.692016,0.0,0
-81.140006,60,93.125628,0.05531630475792257,0
-85.817311,60,94.526795,0.0,0
-95.979378,60,95.897364,0.0,0
-97.462513,60,97.264363,0.0,0
-96.427656,60,98.693134,0.0,0
-85.959629,60,100.044006,0.0,2
-79.137559,60,101.390213,0.0,0
-79.671728,60,102.722234,0.0,0
-81.767115,60,104.092904,0.0,0
-31.151698,23,104.632727,0.7682062132588227,0
-83.066824,60,106.020365,0.0,0
-91.165595,60,107.373843,0.0,0
-76.007157,60,108.78799,0.0,1
-72.656155,60,110.197552,0.06644624717865878,0
-79.665519,60,111.593456,0.0,0
-75.417308,60,112.930234,0.0,0
-80.2974,60,114.293729,0.0,2
-81.874163,60,115.64512,0.0,0
-76.136891,60,117.065326,0.0,1
