#{"t_start": 1715759043.36341, "env_id": "None"}
r,l,t,num_wraps,c
-85.800578,60,5.021029,0.0,0
-94.281695,60,6.247344,0.0,0
-100.731289,60,7.450648,0.0,0
-98.12074,60,8.586659,0.0,0
-104.040154,60,9.753715,0.0,0
-92.737191,60,10.921696,0.0,0
-89.732276,60,12.111474,0.0,0
-96.104987,60,13.294267,0.0,0
-94.101706,60,14.452322,0.0,0
-90.858162,60,15.645248,0.0,0
-104.353325,60,16.974257,0.0,0
-90.882109,60,18.129499,0.0,0
-98.18776,60,19.373749,0.0,0
-103.344589,60,20.602736,0.0,0
-95.831911,60,21.78945,0.0,0
-97.152126,60,22.973521,0.0,0
-89.720062,60,24.218235,0.0,0
-86.399703,60,25.425294,0.0,0
-87.93986,60,26.659753,0.0,0
-97.454765,60,27.858403,0.0,0
-99.988332,60,29.106174,0.0,0
-104.791354,60,30.319428,0.0,0
-99.389059,60,31.600504,0.0,0
-89.786729,60,32.922052,0.0,0
-87.352792,60,34.2183,0.0,0
-94.929217,60,35.492913,0.0,0
-102.614854,60,36.788971,0.0,0
-88.238082,60,38.093533,0.0,0
-86.168403,60,39.304668,0.0,0
-98.939948,60,40.529451,0.0,0
-89.85964,60,41.853622,0.0,0
-78.915152,60,43.177285,0.0,1
-94.79505,60,44.537185,0.0,0
-84.596184,60,50.473491,0.0,1
-94.440225,60,52.011786,0.0,0
-87.704291,60,53.815477,0.0,0
-78.586599,60,55.369346,0.0,0
-87.444535,60,56.955006,0.0,0
-105.201658,60,58.554956,0.0,0
-98.566836,60,60.528303,0.0,0
-78.821261,60,62.196866,0.0,0
-99.027212,60,63.927024,0.0,0
-86.446607,60,65.419629,0.0,0
-89.435006,60,66.829833,0.0,0
-81.551073,60,68.249026,0.0,0
-85.948953,60,69.704006,0.0,0
-60.888406,46,70.750445,0.755046407421903,0
-81.639401,60,72.239566,0.05942967667873124,0
-100.308252,60,73.721606,0.0,0
-79.383915,60,75.180229,0.0,0
-80.245465,60,76.758062,0.0,0
-85.852045,60,78.145042,0.0,0
-93.865069,60,79.482905,0.0,0
-79.497039,58,80.745926,0.7537778571559576,0
-79.889798,60,82.100535,0.0,0
-86.354709,60,83.635077,0.08817160966859806,1
-71.279731,53,84.889715,0.9173496594798621,2
-81.78692,60,86.285825,0.0,0
-81.793628,60,87.662254,0.16719123084999832,4
-77.522548,60,89.077516,0.06699291253934105,0
-81.745531,60,90.473457,0.0,0
-52.113655,39,91.305167,0.7604996453118319,0
-96.666203,60,92.667008,0.0,1
-77.126634,60,94.013426,0.0,0
-91.635257,60,95.376833,0.0,2
-78.884478,60,96.679827,0.0,0
-83.847911,60,97.981563,0.0,0
-43.163374,32,103.304552,0.7500938370879415,0
-79.531312,60,104.946223,0.0,0
-51.216906,38,105.954146,0.8622941028405929,0
-90.769443,60,107.98471,0.0,0
-81.420892,60,109.891081,0.0,3
-77.123113,60,111.455695,0.0,1
-75.040925,60,112.835192,0.0,0
-80.456509,60,114.245622,0.013760772997262194,0
-75.444247,60,115.626479,0.0,0
-84.174183,60,116.991741,0.0,0
-76.89642,60,118.367628,0.0,0
-77.129881,60,119.719758,0.06890649770637586,0
-77.048707,60,121.092613,0.0,0
-40.270385,30,121.743299,0.7567847157095312,0
-75.337957,60,123.097461,0.0,0
-73.819491,60,124.528823,0.14584516339131295,0
-78.059943,60,125.956569,0.0,0
-81.162436,60,127.296422,0.0,1
-75.001777,60,128.685498,0.06549582416151323,0
-77.429341,60,130.078021,0.0,0
-74.40619,60,131.509847,0.0,0
-73.783508,60,132.941475,0.0,0
-74.602413,60,134.351818,0.0,0
-74.319123,60,135.737643,0.0,0
-72.289767,60,137.127009,0.0,0
-74.28887,60,138.534051,0.049684916263198195,0
-32.200048,24,139.120556,0.7504421055176639,0
-75.518841,60,140.557776,0.0,0
-74.569188,60,141.935218,0.0,0
-74.534966,58,143.253399,0.7586721581497056,0
-71.110228,60,144.678223,0.0,0
-72.850346,60,146.045325,0.05982176738140878,0
-72.38272,60,147.482614,0.0,0
-74.543012,60,148.908481,0.0,0
-75.092752,60,150.380203,0.0,0
-75.608227,60,156.424915,0.0,0
