#{"t_start": 1715158401.014611, "env_id": "None"}
r,l,t,num_wraps,c
-867.118298,60,0.639473,0.0,0
-760.803429,60,1.468331,0.0,0
-757.426941,60,2.597102,0.0,0
-1061.355518,60,3.814493,0.0,0
-944.448367,60,4.951288,0.0,0
-1043.956429,60,6.00419,0.0,0
-1023.620846,60,7.219642,0.0,0
-851.336358,60,8.204278,0.0,0
-947.217625,60,9.217926,0.0,0
-875.256332,60,10.355943,0.0,0
-765.365032,60,11.397843,0.0,0
-788.11836,60,12.661632,0.0,0
-832.845657,60,14.052064,0.0,0
-832.940177,60,15.681061,0.0,0
-821.353311,60,17.14256,0.0,0
-822.177696,60,18.41511,0.0,0
-822.824733,60,28.43995,0.0,0
-813.282788,60,29.919,0.0,0
-831.727607,60,31.367121,0.0,0
-813.98558,60,32.809237,0.0,1
-813.123344,60,34.322849,0.0,0
-801.480778,60,35.584082,0.0,0
-813.369097,60,37.028828,0.0,0
-808.738098,60,38.258944,0.0,0
-812.875356,60,39.763433,0.0,0
-808.003454,60,41.10936,0.0,1
-809.773195,60,42.435268,0.0,0
-817.765661,60,43.776482,0.0,0
-811.362176,60,45.204625,0.0,0
-793.553592,60,46.579374,0.0,1
-807.481163,60,48.093534,0.0,0
-815.282208,60,49.353292,0.0,0
-823.526494,60,50.616244,0.0,0
-808.024199,60,61.758463,0.0,0
-819.371315,60,63.26885,0.0,0
-797.901321,60,64.682261,0.0,0
-808.953436,60,66.078407,0.0,0
-794.848779,60,67.261727,0.0,0
-802.008705,60,68.573614,0.0,1
-812.914622,60,70.150974,0.0,0
-802.19602,60,71.619304,0.0,0
-811.223105,60,73.283027,0.0,0
-802.476667,60,74.622735,0.0,0
-817.827897,60,75.959352,0.0,0
-804.906541,60,77.362777,0.0,0
-784.777541,60,78.666622,0.0,0
-798.106112,60,79.900876,0.0,0
-804.822993,60,81.319038,0.0,0
-804.982312,60,82.467885,0.0,0
-809.290917,60,83.751123,0.0,0
-804.246903,60,94.495312,0.0,0
-804.850843,60,95.709377,0.0,0
-824.631718,60,96.936367,0.0,0
-789.818067,60,98.097274,0.0,0
-793.67096,60,99.223339,0.0,0
-799.534728,60,100.48179,0.0,0
-806.732322,60,101.884059,0.0,0
-814.757193,60,103.340243,0.0,0
-799.769336,60,104.763542,0.0,0
-760.530913,60,106.025234,0.0,0
-820.560552,60,107.209691,0.0,0
-784.916465,60,108.589298,0.0,0
-807.744857,60,109.717801,0.0,0
-808.322597,60,110.935812,0.0,0
-808.643837,60,112.117306,0.0,0
-823.46728,60,113.237848,0.0,0
-814.249593,60,120.42742,0.0,0
-785.503782,60,121.565701,0.0,0
-789.314592,60,122.905628,0.0,0
-779.939037,60,124.237605,0.0,1
-780.070515,60,125.602108,0.0,0
-762.209665,60,126.970786,0.0,0
-762.413047,60,128.602704,0.0,0
-749.784385,60,130.255862,0.0,0
-789.31871,60,131.73883,0.0,0
-764.138624,60,133.046332,0.0,0
-729.77245,60,134.25666,0.0,0
-734.134197,60,135.533573,0.0,0
-760.274841,60,136.830206,0.0,0
-758.827282,60,138.177071,0.0,0
-743.076461,60,139.472628,0.0,0
-767.287375,60,140.727683,0.0,0
-753.569764,60,141.972088,0.0,0
-736.870536,60,149.716057,0.0,0
-760.566861,60,150.931623,0.0,0
-753.338207,60,152.318105,0.0,0
-750.608073,60,153.676622,0.0,0
-753.764497,60,154.958432,0.0,0
-754.832605,60,156.319964,0.0,0
-767.564813,60,157.761595,0.0,0
-740.752711,60,159.288857,0.0,0
-763.628651,60,160.66356,0.0,0
-755.884592,60,162.023905,0.0,0
-751.934057,60,163.371096,0.0,0
-762.211038,60,164.684329,0.0,0
-749.166132,60,165.887789,0.0,0
-758.873896,60,167.202272,0.0,0
-760.887012,60,168.535739,0.0,0
-747.334753,60,169.78939,0.0,0
-741.808185,60,171.103995,0.0,0
-747.847484,60,178.426403,0.0,0
-747.6538,60,179.755866,0.0,0
-740.007517,60,181.13194,0.0,0
-740.197143,60,182.422359,0.0,0
-748.060635,60,183.813624,0.0,0
-766.354802,60,185.28857,0.0,0
-743.923836,60,186.79267,0.0,0
-748.823697,60,188.292021,0.0,0
-745.483508,60,189.687171,0.0,0
-732.169973,60,190.981061,0.0,0
-743.019368,60,192.326971,0.0,0
-751.446572,60,193.669316,0.0,0
-741.760213,60,194.965545,0.0,0
-741.052818,60,196.293856,0.0,0
-738.629432,60,197.593652,0.0,0
-736.822902,60,198.913054,0.0,0
-742.453761,60,206.666238,0.0,0
-735.359044,60,207.861334,0.0,0
-735.182608,60,209.283306,0.0,0
-755.987217,60,210.637673,0.0,0
-732.153628,60,211.982718,0.0,0
-729.293471,60,213.511817,0.0,0
-728.027625,60,214.996288,0.0,0
-726.776666,60,216.579654,0.0,0
-725.867162,60,217.99222,0.0,0
-722.531089,60,219.32439,0.0,0
-724.953529,60,220.616401,0.0,0
-709.859756,60,221.882721,0.0,0
-726.714404,60,223.173696,0.0,0
-715.419117,60,224.433166,0.0,0
-717.949788,60,225.724209,0.0,0
-709.252045,60,227.006053,0.0,0
-714.548653,60,228.240411,0.0,0
