#{"t_start": 1712660343.426399, "env_id": "None"}
r,l,t
-20.839524,11,4.825407
-16.373751,11,8.053041
-27.341968,11,12.432207
-23.172341,11,16.83663
-37.586472,11,22.383724
-36.449364,11,25.495626
-18.063911,11,30.131899
-27.442079,11,34.86007
-28.421516,11,40.354334
-32.439636,11,45.340402
-15.785556,11,50.559524
-23.841541,11,55.349876
-23.903862,11,59.910671
-27.797271,11,64.800667
-28.966042,11,68.981962
-21.079572,11,73.513285
-23.1426,11,78.905153
-21.057096,11,83.631202
-7.726446,7,86.817872
-31.194468,11,91.697596
-11.510873,9,95.68369
-25.502966,11,99.31582
-16.02695,11,103.570332
-20.493837,11,108.0842
-11.668218,11,113.062764
-24.606055,11,117.342243
-26.713451,11,122.485289
-20.232522,11,126.292925
-27.015422,11,131.110106
-14.732544,11,135.435567
-15.474959,11,140.342941
-16.302,11,144.581938
-15.093339,11,148.595385
-23.560566,11,153.119542
-19.751519,11,157.647441
-21.835504,11,161.923291
-27.184361,11,166.122782
-27.922261,11,170.762734
-34.987906,11,174.73068
-21.021747,11,179.036009
-17.7923,11,183.208756
-31.127527,11,186.913356
-6.478497,8,190.299992
-29.872754,11,194.509271
-23.614836,11,198.400864
-23.857308,11,202.467386
-9.664588,11,207.527824
-4.837981,5,209.807081
-18.349985,11,213.886811
-18.746178,11,218.373227
-15.420973,11,223.10989
-11.461842,11,227.961164
-15.448053,11,233.661385
-18.891531,11,238.477819
-16.352302,11,243.187819
-19.845848,11,247.648173
-21.314312,11,251.623438
-13.361415,11,257.285382
-16.66668,11,261.423101
-16.650242,11,265.657878
-21.350362,11,270.10873
-24.012659,11,274.131882
-14.905495,11,279.590348
-10.503,10,283.862519
-28.44956,11,288.242608
-6.449191,7,290.976512
-19.838752,11,295.532855
-14.657105,11,300.451448
-16.363936,11,305.560285
-12.230397,10,310.393176
-21.72351,11,314.466566
-19.279112,11,319.016124
-22.943324,11,323.633798
-16.978547,11,328.043198
-11.9769,11,332.998634
-20.320092,11,337.282141
-16.660213,11,342.203859
-20.029761,11,345.767541
-16.132585,11,350.277849
-13.644672,11,354.699429
-19.772241,11,359.013444
-10.039283,10,362.642759
-12.669887,11,366.765078
-13.234514,11,371.57009
-20.504393,11,376.949031
-22.163817,11,381.374928
-11.969077,11,385.745835
-9.022528,10,389.320675
-10.28,8,392.73199
-18.794982,11,396.960417
-14.453314,11,401.66551
-10.221882,10,405.858477
-6.904374,8,409.682295
-9.869334,11,413.758342
-17.189527,11,417.608211
-16.264161,11,421.815218
-12.826587,11,425.775747
-14.514652,11,430.258505
-5.793918,5,432.366489
-12.973657,11,436.811262
-14.922873,11,441.466258
-16.347996,11,446.467991
-16.590708,11,450.311084
-7.612459,7,453.679405
-9.405094,8,456.443532
-19.24527,11,461.045875
-9.822511,9,464.786578
-16.351698,11,469.51041
-14.709826,11,472.881848
-8.082755,8,475.85508
-17.345805,11,479.506997
-6.419885,6,481.804321
-15.655983,11,485.968025
-12.099645,11,490.340183
-13.084541,11,493.630911
-12.494921,10,497.377898
-5.365455,6,499.971583
-9.693761,9,503.276575
-11.366158,11,507.415539
-13.55056,11,511.037608
-11.573131,9,514.889841
-22.112168,11,519.556526
-8.146641,6,521.580547
-5.993091,7,524.451847
-4.660345,5,526.349981
-7.869785,8,529.730684
-13.083774,11,533.533145
-5.09771,6,535.716137
-13.103021,9,539.469232
-13.274507,11,543.669605
-10.266953,11,547.286594
-7.971293,7,550.086044
-9.904348,9,553.21425
-10.840576,11,557.387809
-8.042161,6,560.163357
-8.773484,7,563.549799
-12.166418,11,567.684222
-6.227963,6,569.979301
-9.054241,8,572.750882
-17.622401,11,576.389565
-9.678442,9,579.969721
-11.649475,11,583.874133
-12.703926,11,587.954328
-11.375553,9,591.461706
-12.502886,11,595.311795
-11.822556,11,599.782913
-4.429998,5,602.172209
-8.438386,9,605.981361
-11.580246,11,609.858807
-13.049551,11,615.524595
-5.257183,6,618.415195
-9.729078,11,622.820116
-13.005426,11,626.922292
-5.452744,6,629.866497
-16.263466,10,635.089654
-12.88711,11,639.610869
-5.554121,6,641.816337
-4.438183,4,643.96789
-9.881108,9,647.344946
-9.888315,10,651.118389
-8.781707,8,653.844056
-11.170742,9,657.610982
-3.26787,4,659.550934
-3.985516,5,661.985364
-13.612778,11,665.810193
-11.302256,11,669.229654
-3.24805,4,671.118088
-6.140279,6,672.977019
-8.539221,7,676.277041
-5.376529,5,678.147107
-11.19482,10,681.311595
-5.164529,5,683.524844
-13.833743,10,687.728563
-3.629732,4,689.493654
-7.069739,8,692.754447
-10.128618,9,695.50411
-14.050269,11,698.976617
-9.915877,11,702.693821
-9.893725,9,705.295958
-4.417589,4,707.181626
-7.195334,6,709.648906
-6.070624,6,712.596335
-4.769628,5,714.601084
-7.324364,6,717.319034
-12.321693,11,721.70397
-10.276203,11,725.865631
-16.716219,11,729.330915
-8.789691,9,732.638666
-5.850485,7,735.993119
-10.801884,11,740.433718
-9.952973,10,744.607892
-13.166951,11,748.83763
-11.524568,9,752.94191
-10.696344,10,756.526458
-9.678833,10,760.511168
-8.300598,9,763.805307
-10.992604,11,768.249424
-9.964078,10,772.505247
-6.209378,6,774.851925
-10.054689,9,778.828796
-6.133022,7,782.26126
-6.246998,6,784.949158
-7.775478,8,788.041232
-5.144878,6,790.379354
-3.787888,4,792.461365
-12.076027,10,795.99154
-4.692823,5,798.217234
-11.130043,11,802.364251
-6.438494,6,804.800553
-13.023837,11,807.982261
-9.723786,10,811.486501
-4.308758,4,813.198474
-5.948343,5,814.99282
-7.559781,7,817.333989
-13.267964,11,821.394232
-9.441913,8,824.006059
-7.360511,8,827.510279
-6.520149,7,830.049275
-3.931854,4,832.067434
-5.803438,7,834.620312
-4.242632,4,836.461637
-10.175615,10,840.487073
-4.575511,5,842.748904
-5.244179,5,844.479376
-7.386198,8,847.247535
-4.402572,4,849.106291
-3.424992,4,851.317772
-6.959209,6,854.213354
-7.333422,8,856.73781
-10.239607,11,860.63375
-6.161983,6,863.05669
-9.18828,10,866.356295
-3.872499,4,868.172091
-10.449617,8,871.081584
-6.66996,7,874.016107
-10.429111,11,878.004891
-6.813039,7,880.994012
-5.499646,6,883.510692
-3.945259,4,885.463676
-7.127516,6,888.341142
-4.246843,4,890.334306
-11.666181,11,894.259785
-12.241911,11,897.484831
-2.983723,3,899.179306
-3.958407,4,900.940495
-4.610486,5,903.216987
-10.485945,11,908.121783
-4.531422,5,910.572183
-8.440723,10,914.173597
-11.968901,11,918.557081
-7.077438,6,921.342514
-8.095886,9,924.723491
-6.332511,7,927.465952
-6.707706,7,930.741763
-8.835856,10,934.499548
-3.105744,4,936.69426
-7.477568,8,940.037481
-4.70672,5,942.226801
-4.632689,5,945.104175
-5.214652,5,947.361458
-6.812779,7,950.218245
-9.574203,11,954.603711
-3.661726,4,956.245313
-5.858186,6,959.056612
-6.066313,7,962.149825
-3.032007,3,963.926243
-6.805865,7,966.770794
-5.074766,5,968.960059
-3.534272,4,971.000376
-5.190304,5,973.228695
-7.890665,7,976.191048
-5.039252,5,978.240324
-7.811418,9,981.885238
-4.874994,5,984.121132
-4.340066,5,986.012873
-3.787362,4,988.105635
-5.833785,6,990.434816
-4.109694,4,992.188572
-5.95583,5,994.606737
-3.414941,4,996.43588
-3.191236,4,998.540475
-4.487689,5,1000.92257
-4.618729,5,1003.396343
-4.45829,5,1005.920995
-4.46745,5,1008.250709
-3.863514,4,1010.077627
-3.956189,4,1012.180237
-6.322946,7,1015.412337
-4.087827,5,1017.805667
-6.740905,7,1020.876077
-3.875308,4,1022.86242
-8.070665,10,1026.523659
-6.234183,8,1029.967787
-3.553801,4,1032.021346
-4.413812,5,1034.624644
-3.834877,5,1037.070256
-3.95333,4,1038.991303
-5.513973,6,1041.849264
-5.513314,6,1044.795473
-3.785809,4,1046.911081
-5.519084,6,1049.967453
-6.309724,7,1052.557253
-4.646669,5,1055.377813
-8.45185,9,1058.234288
-4.838569,5,1060.476534
-4.758989,5,1062.718122
-4.781388,5,1065.150073
-9.847482,11,1068.284545
-5.477791,6,1070.850005
-4.921197,5,1073.419405
-3.710544,4,1075.79804
-5.433331,6,1078.838462
-4.071901,5,1081.245333
-2.822032,3,1083.015696
-3.874073,4,1085.137389
-6.111624,6,1087.965671
-3.422434,4,1090.066386
-5.610621,5,1092.749815
-4.491449,5,1094.951676
-4.145931,5,1097.474684
-5.005789,6,1100.457694
-4.471234,5,1103.098037
-4.683321,5,1105.806732
-5.66353,7,1108.897746
-6.422742,7,1111.317179
-6.691636,8,1114.955273
-3.699276,4,1117.334761
-3.9548,5,1120.042925
-3.344825,4,1122.274917
-3.75674,4,1124.39145
-3.540952,4,1127.060842
-4.482162,6,1130.112956
-4.121018,4,1132.34812
-3.037781,4,1134.691258
-3.868875,4,1137.089486
-4.530177,5,1139.252941
-4.107218,4,1141.482582
-7.852243,8,1144.836091
-3.405732,4,1147.029154
-2.824952,3,1148.903845
-5.553729,6,1151.080589
-5.3846,7,1154.248299
-3.746505,5,1156.985035
-2.694748,3,1159.076489
-4.216793,5,1161.502933
-5.726145,7,1164.139634
-4.953008,5,1166.452159
-3.509733,4,1169.026168
-6.418968,8,1172.559145
-3.90555,5,1174.984707
-7.240419,8,1178.448428
-4.456583,5,1180.583825
-3.336113,4,1182.784292
-2.72755,3,1184.492598
-4.46623,5,1187.194034
-2.691054,3,1189.139034
-4.718395,4,1191.247228
-4.353872,5,1193.415258
-3.100753,4,1196.051816
-6.651695,8,1199.488112
-4.025827,4,1201.489714
-6.065162,7,1204.707068
-2.457185,3,1206.69129
-5.356467,5,1209.031783
-4.472565,5,1211.74262
