#{"t_start": 1715894168.3539321, "env_id": "None"}
r,l,t,num_wraps,c
-245.196557,100,2.502267,0.0,0
-241.746265,100,5.101876,0.0,0
-258.791879,100,7.710733,0.0,0
-235.78332,100,10.023021,0.0,2
-241.429912,100,12.077992,0.0,0
-251.551352,100,14.402202,0.0,0
-231.844007,100,16.707389,0.0,3
-251.417532,100,19.085159,0.0,2
-256.402417,100,21.380305,0.0,1
-273.593901,100,23.588417,0.0,0
-258.000923,100,25.807013,0.0,0
-236.212092,100,28.154831,0.0,0
-260.969615,100,30.584958,0.0,3
-236.962994,100,33.009506,0.0,1
-233.695166,100,35.738105,0.0,2
-231.670747,100,38.447352,0.0,0
-235.990875,100,40.880388,0.0,2
-250.914808,100,43.296048,0.0,0
-264.394962,100,45.80747,0.0,0
-260.947365,100,48.237553,0.0,3
-234.408771,100,50.770903,0.0,6
-281.349962,100,53.223946,0.0,0
-236.73606,100,55.805831,0.0,2
-241.149417,100,58.346751,0.0,1
-246.099256,100,60.89825,0.0,1
-238.065092,100,64.106941,0.0,1
-230.699351,100,67.004506,0.0,0
-229.93748,100,69.768874,0.0,1
-205.709057,100,72.290999,0.0,0
-240.262079,100,74.732174,0.0,1
-230.19986,100,77.224011,0.0,1
-239.205118,100,79.779433,0.0,3
-221.106085,100,82.285599,0.0,0
-223.062089,100,85.038467,0.0,1
-239.710122,100,87.534489,0.0,0
-234.729989,100,89.974606,0.0,0
-254.817896,100,92.420825,0.0,0
-222.997894,100,94.828124,0.0,0
-237.344636,100,97.407143,0.0,1
-197.6062,100,100.501958,0.0,2
-257.944618,100,103.593063,0.0,0
-229.39341,100,106.720229,0.0,0
-257.843829,100,109.595215,0.0,0
-231.957806,100,112.230038,0.0,0
-235.3991,100,114.715123,0.0,0
-231.017592,100,117.238872,0.0,0
-212.560486,100,119.880773,0.0,0
-230.886209,100,122.433769,0.0,0
-235.538613,100,125.083566,0.0,0
-233.92771,100,127.614072,0.0,2
-234.104424,100,139.63095,0.0,0
-237.636774,100,142.93746,0.0,0
-236.044858,100,146.474327,0.0,0
-231.386515,100,149.849337,0.0,0
-229.119428,100,152.76038,0.0,0
-227.027282,100,156.082034,0.0,0
-228.899783,100,159.272314,0.0,0
-225.079698,100,162.138967,0.0,0
-230.912702,100,164.664268,0.0,0
-227.780312,100,167.403048,0.0,0
-227.742649,100,170.233246,0.0,0
-225.070039,100,173.086696,0.0,0
-219.969302,100,175.80638,0.0,0
-231.963088,100,178.79918,0.0,0
-216.486612,100,181.676781,0.0,1
-227.68648,100,184.424496,0.0,0
-223.929759,100,187.296894,0.0,0
-220.417436,100,190.13102,0.0,0
-201.502063,100,193.114095,0.2636302687748723,0
-218.271189,100,195.94129,0.0,0
-230.501494,100,198.711234,0.1477523979730167,5
-220.459527,100,201.611183,0.3251330500920618,0
-202.408145,100,204.560166,0.331800365866015,0
-204.206242,100,207.552038,0.0,0
-226.800367,100,210.477926,0.0,0
-210.599473,100,213.655633,0.0,0
-231.777416,100,216.62442,0.0,0
-215.752021,100,219.806898,0.5276148111350452,0
-221.66919,100,222.874298,0.13710692151977433,0
-207.841384,100,225.795292,0.0,0
-222.673637,100,229.01024,0.0,3
-228.167532,100,231.965639,0.0,0
-229.827843,100,234.876354,0.033766295014691555,0
-215.781015,100,237.982599,0.0,0
-191.005539,100,241.262584,0.0,0
-217.826074,100,244.541506,0.0,0
-217.174174,100,247.85484,0.11975398849436429,0
-214.780299,100,250.94059,0.0,0
-235.2881,100,253.850892,0.0,3
-205.478682,100,256.773566,0.0,0
-217.268574,100,259.700909,0.0,2
-182.313256,100,262.872184,0.0,0
-198.05853,100,265.983611,0.0,0
-211.126232,100,268.880189,0.0,1
-203.630302,100,271.659626,0.0,0
-213.286095,100,274.776353,0.0,0
-212.912783,100,277.738205,0.0,0
-192.860251,100,280.61651,0.0,0
-212.992322,100,283.564344,0.0,0
-225.725341,100,286.452081,0.0,1
-212.974376,100,298.021813,0.0,0
-227.970614,100,301.209649,0.0,0
-221.26646,100,304.059154,0.0,0
-218.180646,100,306.944897,0.0,0
-235.904689,100,309.773323,0.0,1
-228.491955,100,312.674865,0.0,4
-218.035116,100,315.705373,0.0,0
-216.041097,100,318.820805,0.0,0
-214.570824,100,321.940207,0.12617213553215842,0
