#{"t_start": 1713108993.98584, "env_id": "None"}
r,l,t
-18.166081,10,2.776031
-17.076049,10,4.828657
-22.128466,10,7.124779
-26.214919,10,9.555144
-27.818715,10,12.24309
-19.301369,10,14.957084
-17.023842,10,17.082924
-14.948391,10,19.606045
-20.09693,10,22.166258
-18.78886,10,24.697213
-15.783242,10,26.954152
-21.336419,10,29.67911
-15.958814,10,32.328032
-19.674357,10,34.872937
-22.988754,10,37.54994
-16.890346,10,39.98174
-18.869162,10,42.191024
-18.314579,10,44.997254
-25.234755,10,47.675538
-24.236558,10,50.108885
-17.138744,10,52.786875
-24.01293,10,55.568074
-13.168011,10,57.899429
-12.929298,10,60.153941
-26.08916,10,62.782526
-23.823706,10,65.27446
-22.78416,10,68.209328
-16.120144,10,70.583605
-24.372045,10,73.604124
-14.195117,10,76.004792
-21.775739,10,78.250152
-27.124212,10,80.748973
-21.276939,10,83.153637
-24.044371,10,85.830754
-21.990969,10,87.96952
-17.447913,10,90.442443
-13.583805,10,93.179919
-21.751852,10,95.715426
-18.498118,10,98.425929
-24.602582,10,100.894902
-16.979424,10,103.571166
-15.71185,10,106.341774
-24.194973,10,109.138157
-16.283835,10,111.586784
-17.102186,10,114.002619
-27.069767,10,116.545824
-17.64465,10,119.235238
-17.849123,10,121.762454
-16.072581,10,124.157855
-19.817784,10,126.496618
-17.900849,10,129.585977
-19.014885,10,131.963694
-11.744535,10,134.586123
-17.836362,10,137.037677
-19.076596,10,139.495249
-17.943944,10,142.035679
-19.1008,10,144.467277
-17.23937,10,147.26112
-16.790076,10,149.827098
-18.28409,10,152.227394
-21.378024,10,154.713987
-19.923737,10,157.627836
-23.446363,10,159.892409
-14.443531,10,162.303614
-16.012182,10,164.550828
-21.353011,10,167.430565
-21.425854,10,169.484631
-15.409817,10,172.777512
-15.079155,10,175.156692
-33.294051,10,177.783664
-10.152464,10,180.538941
-14.191633,10,182.866412
-23.31517,10,185.842569
-18.821547,10,187.984366
-17.928406,10,191.000862
-20.902659,10,193.497975
-15.032321,10,195.946923
-19.813867,10,198.796537
-21.782924,10,201.183903
-10.002365,10,204.075666
-10.564362,10,206.618005
-16.336033,10,209.40016
