#{"t_start": 1713126537.6704268, "env_id": "None"}
r,l,t
-22.491526,10,1.835972
-27.318517,10,3.615683
-23.696023,10,5.216912
-28.271543,10,7.005176
-27.18875,10,8.924615
-22.497334,10,11.085823
-15.293688,10,12.59037
-15.777769,10,14.460312
-21.913136,10,16.328379
-16.849778,10,18.303513
-24.31724,10,20.602773
-22.080729,10,22.790117
-13.598502,10,24.642937
-23.913696,10,27.02806
-25.735698,10,30.246406
-26.874802,10,32.247505
-25.448497,10,34.260248
-22.373782,10,36.311405
-25.937638,10,38.441057
-23.689808,10,40.094121
-20.717562,10,42.272415
-22.790035,10,44.391686
-21.739208,10,46.172455
-32.167668,10,47.682676
-26.164612,10,49.604021
-26.112826,10,52.452056
-22.24207,10,54.344572
-24.311218,10,55.999635
-26.389589,10,58.643044
-15.547777,10,60.262919
-24.48235,10,62.249311
-29.859154,10,64.937571
-19.832291,10,66.624216
-26.562588,10,68.381825
-23.377115,10,69.826392
-23.10441,10,71.539604
-13.843913,10,73.325536
-24.457856,10,75.287346
-18.720622,10,77.307013
-23.787031,10,79.188494
-14.891132,10,81.260285
-15.509761,10,83.305164
-26.60133,10,86.219438
-22.135491,10,88.063095
-25.322272,10,89.681272
-27.474915,10,92.527692
-19.409957,10,94.373509
-28.542432,10,96.310891
-17.331677,10,98.170349
-24.232685,10,100.700858
-29.593193,10,102.85601
-24.191023,10,105.262103
-11.267783,10,107.169543
-17.336713,10,108.868402
-19.917661,10,110.629848
-18.002612,10,112.598976
-17.912317,10,114.424593
-18.257157,10,116.539245
-27.028469,10,118.40695
-18.430519,10,119.972822
-23.991298,10,121.710174
-19.77299,10,123.711975
-23.730768,10,125.353281
-14.358396,10,127.205949
-24.349535,10,128.812539
-21.791518,10,130.753278
-21.547595,10,132.185477
-16.109556,10,134.385506
-27.301364,10,136.304772
-33.97059,10,138.086403
-7.950985,8,139.53253
-19.93255,10,141.259559
-17.303346,10,143.076534
-21.336649,10,145.278278
-20.731981,10,146.97747
-23.618298,10,148.886703
-24.376677,10,151.119011
-27.69669,10,153.016985
-12.924225,10,154.805075
-11.607112,10,156.974506
-22.806159,10,158.566914
-11.474995,10,160.637962
-29.805425,10,162.551217
-21.934657,10,163.978026
-18.083937,10,165.893389
-21.259786,10,167.945109
-19.198702,10,170.030649
-18.519774,10,171.985468
-19.752752,10,173.468189
-15.18207,10,175.343999
-22.49494,10,177.566419
-20.365157,10,179.387564
-21.93393,10,181.605385
-19.473332,10,183.680091
-19.661286,10,185.452667
-16.130604,10,187.34656
-25.164506,10,189.463382
-6.19539,7,191.044386
-10.680682,10,192.758359
-13.393339,10,194.538039
-13.275002,10,196.197923
-26.952265,10,197.82431
-12.448504,10,199.946896
-30.051569,10,201.679705
-20.568092,10,203.616635
-24.947085,10,205.435044
-15.139643,10,207.101034
-16.893901,10,209.234289
-28.386172,10,211.190228
-10.345796,10,212.925039
-15.975508,10,214.841858
-25.164137,8,216.43538
-28.536806,10,218.354242
-26.884311,10,220.050886
-17.011452,10,222.262501
-15.078369,10,224.115553
-25.976397,10,225.417626
-22.687437,10,227.591905
-23.751458,10,229.411523
-13.725615,10,231.459246
-34.168348,10,233.344433
-19.526505,10,235.075352
-31.009841,10,237.210539
-33.239984,10,238.849074
-13.902919,5,239.996445
-25.679267,10,242.015271
-8.644195,8,243.5809
-25.047322,10,245.570453
-10.301329,10,247.771611
-10.243462,10,249.513217
-19.285315,10,251.122721
-18.392208,10,253.096323
-24.496533,10,254.939928
-16.746629,10,256.657079
-11.497614,10,258.704767
-18.386212,10,260.616753
-15.121563,10,262.163925
-19.797904,10,264.147653
-15.306006,10,265.97377
-27.296271,10,267.98089
-18.589403,10,270.026122
-20.167999,10,272.0358
-18.811504,10,274.101505
-30.107038,10,276.207574
-19.464242,10,278.371365
-33.127801,10,280.717832
-20.987971,10,282.799979
-16.634686,10,284.556991
-21.890839,10,286.332848
-24.505955,10,289.055594
-17.766209,10,290.482184
-15.064459,10,292.198984
-14.475632,10,294.180662
-16.004125,10,296.645238
-12.762129,10,298.65971
-13.129788,10,300.079008
-30.468201,10,301.862251
-7.378046,7,303.387956
-16.768811,10,305.303698
-27.951824,10,306.859126
-12.412575,10,308.276835
-16.138372,10,310.064032
-12.417064,10,311.514067
-14.616614,10,313.469172
-12.885696,10,315.160856
-29.674455,10,316.743703
-18.719034,10,318.643474
-31.290377,10,320.372351
-18.057211,10,321.99503
-11.629205,9,323.508274
-17.595018,10,325.100603
-20.636484,10,327.115684
-16.313511,10,328.822475
-22.044367,10,330.749136
-23.532214,10,332.515623
-12.841136,10,334.101509
-13.023149,10,335.797247
-29.716768,10,337.728774
-19.241387,10,339.469425
-13.023836,10,341.546709
-30.021782,10,343.11921
-12.705209,10,345.133408
-16.213414,10,347.107479
-20.441821,10,348.977609
-16.243159,10,351.034085
-29.645762,10,352.880141
-23.070844,10,354.707584
-28.110609,10,356.452992
-14.504375,10,358.760547
-7.081857,7,360.226777
-12.544218,10,361.950055
-14.30286,10,363.693136
-23.297431,10,365.58645
-12.207358,10,367.864641
-4.863041,8,369.558538
-15.315489,10,371.338405
-12.122456,10,373.208845
-12.341372,10,374.974271
-12.150319,9,376.578646
-17.702941,10,378.274187
-8.93815,10,380.077674
-15.476454,10,381.801761
-17.260339,10,383.471522
-9.547807,10,385.473777
-21.551147,10,387.299692
-24.574596,10,388.993994
-17.978498,10,391.108718
-12.041828,10,393.550602
-16.523893,10,395.379508
-17.354886,10,397.65481
-31.894512,10,398.966855
-14.251699,10,400.806642
-15.559081,8,402.408694
-15.765392,7,403.788359
-13.921289,10,405.32616
-7.967366,6,406.710104
-19.173333,10,408.226346
-14.079959,10,409.798087
-15.31985,5,410.985596
-10.169807,10,412.813743
-10.586446,9,414.574417
-18.363509,10,416.247068
-18.560753,10,418.136429
-16.368892,10,419.871742
-12.374095,10,421.58797
-15.726884,10,423.566564
-21.131708,10,425.664003
-20.546229,7,427.236595
-7.686812,10,429.034603
-10.255626,10,430.552746
-11.441988,6,431.915262
-13.838815,10,433.401168
-18.711647,10,434.949768
-17.472129,10,436.80923
-5.885743,10,438.873025
-11.583068,10,440.701949
-12.336941,10,442.533527
-13.439256,10,444.35473
-11.917617,10,445.926168
-12.265836,10,447.751566
-11.92587,10,449.703408
-28.520238,10,451.439225
-10.994989,10,453.247755
-14.372353,10,455.021655
-13.513511,10,456.521332
-9.855398,10,458.201665
-7.288949,8,459.792303
-12.813044,10,461.7497
-20.551983,10,463.704918
-6.707794,10,465.182219
-11.076473,10,466.690392
-4.791215,6,468.133978
-15.05151,10,469.772136
-28.545924,9,471.255485
-13.492917,10,473.343102
-10.808719,10,475.191253
-16.015392,10,476.769342
-11.07038,10,478.540595
-13.565444,10,480.334417
-20.188609,10,482.123031
-24.287483,10,484.080856
-14.061103,10,485.901393
-12.970226,7,487.307542
-10.161333,10,488.635068
-19.997551,10,490.707009
-14.807293,10,492.505904
-13.377231,10,494.156044
-12.48727,10,496.187649
-16.295178,10,497.998358
-17.8525,10,499.99474
-9.636236,10,501.705226
-10.790127,10,503.422886
-11.539911,10,505.183108
-12.439727,10,506.939069
-10.281887,10,509.020259
-16.390594,10,510.721337
-7.855122,9,512.202638
-26.458625,10,513.538676
-15.092256,10,515.515364
-12.746008,10,518.023324
-13.035574,10,519.813222
-16.406342,7,521.273298
-14.31858,10,523.101238
-11.397073,10,525.143896
-1.879244,3,525.949453
-11.737607,10,527.9872
-11.725029,10,530.202912
-15.960167,4,531.187414
-13.128995,10,533.203178
-11.920197,10,534.867662
-21.311047,10,537.129691
-9.238147,10,539.360804
-13.48612,10,541.56253
-12.038137,10,542.911309
-15.366684,10,544.43697
-21.355456,10,546.408743
-11.182879,10,548.067382
-16.889529,10,550.278415
-12.951995,10,551.99329
-8.635957,10,553.961773
-17.532235,10,556.15824
-17.843011,10,558.24586
