#{"t_start": 1712745547.801037, "env_id": "None"}
r,l,t
-18.594445,10,2.752869
-18.586216,10,5.045301
-22.15592,10,7.485636
-27.759421,10,10.583168
-29.202845,10,14.079745
-19.925766,10,17.411974
-15.660525,10,19.743358
-11.686443,8,21.813166
-28.89267,10,24.934289
-20.852672,10,27.941825
-13.801005,10,30.970617
-15.523539,10,33.599573
-19.939918,10,36.751531
-15.784806,10,39.840488
-16.653004,10,42.702928
-20.541577,10,45.668296
-25.625754,10,48.314648
-21.152917,10,51.400849
-31.543636,10,54.240281
-15.34242,10,57.281138
-7.610726,7,59.60483
-27.992284,10,63.155058
-17.485418,10,66.298566
-23.345347,10,68.556171
-30.797685,10,70.707887
-21.73938,10,73.679663
-32.361048,10,77.172227
-23.00358,10,79.915693
-24.407746,10,83.068728
-16.154771,10,86.130437
-18.379392,10,88.651834
-23.820262,10,91.386166
-26.125047,10,93.764767
-15.743,10,96.786092
-33.764817,10,99.159901
-16.683807,10,101.71608
-14.712842,10,104.345848
-23.960828,10,107.142756
-5.906473,7,109.228811
-22.490753,10,111.423713
-16.224429,10,114.743532
-17.120298,10,117.802876
-21.719822,10,121.013466
-27.382335,10,123.887989
-16.394296,10,126.228509
-26.606257,10,128.709755
-6.44918,6,130.760946
-29.136182,10,133.214465
-12.210893,10,136.560502
-19.123629,10,139.036927
-20.950039,10,141.255361
-17.062873,10,144.103236
-27.268991,10,146.234982
-17.33063,10,148.615775
-15.174573,10,151.19012
-16.438636,10,154.08876
-14.866723,10,156.613955
-16.407956,10,159.453522
-17.974005,10,161.941452
-19.706526,10,164.764505
-18.468504,10,166.688565
-17.895811,10,169.153422
-18.299201,10,171.66967
-10.731753,10,174.223694
-15.863797,10,176.372261
-12.118145,10,178.88656
-14.322983,10,181.191637
-13.965445,10,183.492594
-15.496533,10,186.339108
-16.328117,10,188.911913
-5.485665,5,190.224267
-22.334348,10,192.576404
-23.32594,10,195.071486
-9.343379,9,197.396037
-10.888557,10,200.24125
-17.791782,10,202.523406
-17.847334,10,205.276826
-10.263343,10,208.027854
-14.24869,10,210.373984
-13.458377,10,212.91406
-15.327046,10,215.564023
-14.555414,10,218.20512
-17.176375,10,220.825521
-14.817308,10,223.533657
-12.698379,10,225.996767
-14.373564,10,228.393961
-13.477587,10,230.799263
-15.166629,10,233.859926
-15.645059,10,236.585332
-12.576093,10,239.031783
-10.004846,10,241.910329
-13.090648,10,244.72202
-18.303309,10,247.94589
-12.840922,10,250.910606
-10.824925,10,253.992803
-13.996221,10,256.996354
-12.934612,10,259.61853
-13.027081,10,262.725785
-4.507558,5,264.544437
-19.880897,10,267.970944
-10.909035,10,271.031441
-10.218475,8,273.582273
-8.964488,9,276.127392
-13.192519,10,278.577809
-7.011301,7,280.824499
-14.00186,10,284.088513
-13.276284,10,287.096275
-11.033521,10,289.909467
-13.811325,10,292.500024
-12.140642,10,295.667002
-14.414539,10,298.567698
-9.788698,10,301.723045
-15.740857,10,304.539319
-17.872703,10,307.577075
-20.428244,10,310.503703
-10.810633,10,313.781663
-9.463781,9,317.278268
-6.276885,6,319.165994
-14.374781,10,321.79351
-7.191927,6,323.612556
-11.302147,10,326.388034
-12.419521,10,329.079363
-14.14686,10,332.196271
-11.728177,10,335.578573
-8.252712,9,338.63474
-12.170953,10,341.644252
-16.665419,10,344.287203
-12.570508,10,347.30961
-13.820749,10,349.902535
-7.217821,6,351.92974
-7.671415,6,353.757244
-13.516836,9,356.565585
-18.423105,10,359.544226
-12.737016,10,362.988278
-8.917009,10,366.729308
-11.388726,10,369.642275
-11.450808,10,372.728162
-12.724619,9,376.016009
-12.78085,10,379.098026
-11.651394,10,382.306643
-8.031398,7,384.456551
-9.727499,10,387.57688
-13.325521,10,390.57416
-3.7158,4,392.045028
-13.24735,10,395.121047
-11.878936,10,397.965695
-9.396595,8,400.605837
-12.51591,10,403.355298
-11.374363,10,406.460281
-3.765976,4,407.811173
-10.600309,10,410.87375
-5.342279,6,412.761702
-9.211471,10,415.717568
-4.548503,5,417.477169
-6.587728,7,419.502421
-13.878948,10,422.348582
-11.664537,10,425.388876
-8.55842,8,427.37139
-9.092817,10,429.853745
-13.631639,10,432.696032
-8.737374,10,435.546931
-11.034508,10,438.098406
-9.390686,10,440.923146
-7.051724,8,443.427189
-8.922934,9,446.398775
-13.572174,10,449.034876
-8.208551,8,451.142182
-9.603401,9,453.603461
-7.344631,8,456.027991
-7.992857,8,457.9724
-4.622341,5,459.582535
-9.969688,10,462.591747
-15.21357,10,464.581194
-11.288524,10,467.784806
-12.654579,10,470.236844
-10.804186,10,472.932423
-6.858423,8,475.140973
-6.967124,6,477.150223
-3.055199,4,478.672675
-5.412026,5,480.032993
-9.217804,10,483.624493
-8.059598,7,486.245281
-12.876994,10,489.523562
-5.112203,5,491.015384
-8.040967,8,493.662185
-4.791486,5,495.738062
-9.942556,10,498.28725
-4.846375,5,500.063734
-11.133601,10,502.504356
-8.523159,7,504.560557
-6.518268,6,506.547402
-7.07759,7,509.125876
-9.708308,10,512.266299
-5.729626,6,514.205062
-5.026189,5,515.836148
-8.967389,8,517.921558
-14.158972,10,520.357472
-3.163008,4,521.87929
-7.864222,8,523.846802
-6.516875,7,526.218075
-10.218431,10,529.102424
-7.566094,8,531.246138
-4.072687,4,532.645717
-3.832828,4,534.269213
-7.846695,7,536.111619
-9.395809,10,538.724117
-5.913035,6,540.370159
-4.483601,4,541.778049
-6.024879,6,543.798535
-5.661456,6,545.819874
-9.056793,10,548.106242
-7.346248,6,550.150516
-7.986257,8,552.486632
-6.141311,6,554.149651
-4.591182,5,556.094059
-5.646171,7,557.896459
-6.644132,6,559.439891
-6.581651,5,561.063185
-5.337775,6,562.853113
-4.939835,5,564.526737
-4.094599,4,565.948133
-2.844103,3,567.188204
-6.179929,7,569.353238
-3.95501,4,570.672245
-4.323878,5,572.507953
-5.140292,5,574.19764
-2.612847,3,575.397091
-7.193241,7,577.498603
-11.216112,10,579.93418
-6.969716,8,581.955623
-5.917946,5,583.535157
-3.855023,4,585.084834
-3.916689,4,586.654207
-5.867044,7,588.791316
