x,y,z,h
1.4142135,0,4.4142137,False
1.2157986,0,4.1728625,False
0.9938518,0,3.9376013,False
0.764435,0,3.7187748,False
0.52650666,0,3.5519116,False
0.27845895,0,3.4990125,False
0.27678034,0,3.496068,False
0.27468002,0,3.4929924,False
0.27240163,0,3.4898512,False
0.27011356,0,3.4866803,False
0.22897965,0,3.4595065,False
0.11258186,0,3.398841,False
-0.0026134192,0,3.3155434,True
-0.07271482,0,3.2129042,True
-0.1216344,0,3.0718796,True
-0.16268596,0,2.8831356,True
-0.1663088,0,2.671247,True
-0.12322806,0,2.4467163,True
-0.052834414,0,2.2215955,True
0.0037395852,0,2.0127647,True
0.03289338,0,1.8252842,False
