#{"t_start": 1713203880.159968, "env_id": "None"}
r,l,t
-123.687407,40,26.91611
-127.640274,40,30.208347
-195.654846,40,35.897815
-200.457831,40,41.550031
-121.989369,40,45.772453
-44.005524,35,48.733806
-6.037047,10,50.003525
-10.913707,14,51.469833
-51.817653,15,53.036287
-12.196973,23,55.226819
-11.98826,16,56.801871
-42.024252,19,58.392427
-12.132,17,59.896642
-21.035271,26,61.83521
-39.245808,32,64.219699
-12.718029,11,65.584709
-40.223385,12,66.709167
-9.548996,13,68.154451
-8.377812,24,70.320838
-26.30635,9,71.846215
-8.487981,11,73.184743
-35.769934,29,75.790947
-7.834257,9,76.957662
-29.614184,8,78.048155
-56.205837,13,79.511716
-12.589679,20,81.554628
-11.077592,19,83.346514
-25.034932,12,84.845491
-10.404129,16,86.457779
-14.437894,26,88.338006
-16.295491,40,91.149051
-8.511252,21,93.238355
-8.828479,20,94.900617
-10.342998,16,96.541491
-21.520367,17,98.162642
-7.779452,13,99.693844
-8.696769,18,101.139424
-9.604406,9,102.190995
-18.145985,33,104.531252
-10.493059,16,105.941532
-8.162433,16,107.623958
-22.925256,9,108.765205
-7.035921,17,110.497182
-12.85133,12,111.980054
-11.07341,18,113.520903
-7.176006,14,114.895336
-11.693666,29,117.239824
-18.141181,40,120.136798
-5.52457,10,121.470307
-22.832512,6,122.747129
-13.051623,12,124.324003
-10.997266,26,126.72523
-7.600735,13,128.34076
-8.788395,21,130.288059
-12.660856,31,132.551688
-6.135007,12,133.974352
-11.278872,11,135.471612
-19.759221,40,138.238384
-4.556782,9,139.635996
-5.837538,12,141.082153
-15.594452,9,142.659238
-13.156648,24,144.882226
-7.881682,14,146.22312
-5.226968,9,147.609302
-7.28857,11,149.248227
-9.034487,15,150.879307
-3.644874,7,152.153628
-8.618192,12,153.67616
-4.177624,7,155.023796
-10.157084,24,157.02753
-2.850007,8,158.198111
-7.239417,13,159.669952
-12.087779,26,161.732115
-12.172076,7,163.090332
-22.982074,6,164.127016
-5.537288,10,165.263607
-13.048731,15,166.84419
-3.946339,9,168.074506
-13.227057,18,169.921207
-5.777469,10,171.151398
-3.959137,9,172.504789
-5.956986,11,173.82562
-5.687041,10,175.251178
-4.36132,14,176.897614
-18.84885,5,177.895374
-5.866019,10,179.482987
-5.40144,10,180.877508
-9.036968,27,183.017744
-5.193328,9,184.396123
-5.369243,11,185.680937
-4.465757,12,187.068244
-4.156608,9,188.602542
-5.776686,14,190.172385
-4.52348,9,191.671486
-11.540865,9,192.921682
-6.573342,17,194.736859
-6.197476,8,195.84092
-15.152901,4,196.751266
-8.177901,9,198.277891
-12.215893,27,200.548925
-5.081511,9,201.903137
-14.989401,22,203.871365
-13.684928,40,206.758911
-3.969427,9,208.213358
-5.062033,9,209.63831
-12.767004,10,211.227074
-11.09531,7,212.409658
-4.275756,7,213.83069
-4.986369,17,215.21653
-4.985772,8,216.671523
-4.571395,9,217.995301
-4.455117,9,219.349412
-7.14517,7,220.691457
-11.782957,9,222.319984
-3.627626,7,223.507657
-6.047624,11,225.24975
-12.468931,10,226.854502
-6.969909,11,228.710054
-5.499128,9,230.238035
-4.320408,10,231.706757
-2.656729,7,232.830891
-3.481289,9,234.035398
-3.302999,10,235.399172
-7.284616,9,236.920691
-15.39864,5,238.26414
-7.293034,6,239.449766
-2.584438,7,240.954128
-4.261924,9,242.385231
-11.123615,8,244.013952
-3.254404,9,245.336637
-5.476301,8,246.873054
-4.482105,7,248.280588
-4.21357,8,249.662618
-6.157306,9,251.271698
-11.255005,4,252.333342
-3.319188,7,253.880299
-2.228165,9,255.265453
-2.45145,7,256.521759
-3.771924,7,257.90419
-3.186738,5,258.872235
-4.022725,7,260.145572
-6.546667,10,261.517963
-15.309798,7,262.648674
-11.001857,3,263.348415
-3.893785,7,264.568461
-1.760022,6,265.572786
-4.264917,10,266.890987
-1.654522,5,267.903912
-3.825039,7,270.522627
-5.142114,14,271.985697
-2.078884,8,272.956749
-11.252,7,274.298787
-8.317589,9,275.71097
-11.18196,3,276.517192
-10.747306,3,277.272459
-4.310497,10,278.5628
-3.009086,6,280.046057
-6.695773,4,281.331585
-4.033379,7,282.698178
-2.224947,6,283.909758
-3.093116,6,285.248985
-11.1339,3,286.033957
-11.150992,6,287.364118
-3.761086,7,288.702586
-3.115807,7,290.032938
-8.011416,11,291.47069
-16.439404,17,293.36718
-3.392208,8,294.726052
-6.575719,4,295.814576
-3.057462,7,297.216159
-8.087457,7,298.702747
-3.932555,8,300.031351
-3.039711,5,301.234742
-7.292439,4,302.156387
-1.553176,5,303.296912
-2.651161,6,304.719652
-2.075075,6,305.891424
-3.874022,8,307.43247
-3.091256,6,308.703337
-2.983338,6,310.16709
-4.006177,11,311.85368
-2.04044,6,313.05517
-11.417419,6,314.465664
-1.407906,5,315.603987
-8.847637,8,317.126081
-3.259829,12,318.976926
-6.910583,7,320.308781
-1.122443,4,321.241436
-2.959067,7,322.574035
-0.933178,4,323.602956
-1.732709,5,324.695733
-3.780029,10,326.265847
-1.925798,5,327.46967
-3.412202,8,328.74846
-6.6274,3,329.682482
-3.21191,10,331.2783
-8.602876,8,332.885268
-2.650789,5,334.134654
-7.481301,6,335.493652
-2.762278,7,336.839454
-7.632549,7,338.193351
-11.066938,4,339.264254
-0.923184,3,340.129917
-2.517867,6,341.483431
-3.227556,6,342.77235
-2.331296,5,343.840874
-2.721327,6,345.180104
-2.241416,5,346.399402
-2.61469,5,347.553865
-3.427631,4,348.66807
-3.03393,7,350.037903
-8.229388,7,351.339755
-4.032696,10,352.994512
-2.209765,5,354.309883
-2.632655,5,355.636893
-6.939669,4,356.699823
-10.894594,5,358.140429
-7.66902,6,359.5141
-2.209369,6,360.852902
-5.906877,11,362.257873
-2.591356,7,363.650119
-2.007739,5,364.874887
-0.925011,3,365.77569
-7.16397,6,367.001673
-1.360232,4,368.070456
-1.968059,5,369.369485
-6.927506,4,370.587315
-2.86127,5,371.954238
-3.854101,8,372.955941
-2.454668,4,373.978922
-2.361848,5,375.235966
-2.884781,6,376.373751
-2.413325,5,377.679105
-2.403046,5,379.042053
-7.960644,6,380.653956
-2.700426,5,382.061083
-2.137841,4,383.225162
-11.226674,3,384.078326
-6.921393,5,385.125967
-3.122208,5,386.462385
-8.156373,7,387.823181
-2.898883,6,389.092847
-2.699955,8,390.466397
-2.418833,6,391.878802
-2.094176,4,392.943414
-2.763806,8,394.40616
-2.105805,6,395.850222
-1.497696,4,397.076467
-11.28377,4,398.223583
-11.687068,5,399.569592
-2.735128,6,400.718135
-6.820043,5,401.972995
-1.452962,4,403.107766
-2.790193,5,404.33449
-7.790043,8,405.822871
-2.58484,5,407.205951
-1.050748,4,408.257565
-7.371648,4,409.304657
-2.761293,7,410.804612
-3.447686,3,411.673961
-8.999247,7,413.410395
-1.027026,4,414.44104
-1.720848,4,415.842497
-2.631291,5,417.363708
-2.684136,5,418.561655
-2.442589,5,419.957368
-9.489887,13,421.727097
-7.66766,6,422.956204
-7.979492,7,424.31647
-2.243215,5,425.66808
-3.738049,8,426.875532
-11.208139,7,428.574813
-6.93127,4,429.76357
-2.51856,5,431.115098
-1.571808,4,432.338012
-8.425549,9,433.931854
-0.903462,4,434.920206
-2.968917,7,436.170214
-11.087992,3,436.99972
-1.762116,5,438.149893
-1.993148,4,439.236072
-5.344138,7,440.778406
-11.173936,9,442.265284
-2.615777,5,443.77592
-2.272601,6,444.995247
-4.849275,5,446.271934
-0.886259,3,447.216447
-2.333931,5,448.544511
-2.255727,6,450.073413
-7.946115,6,451.4996
-0.795589,3,452.389908
-10.92417,3,453.289603
-3.087397,5,454.562231
-11.059654,5,455.7479
-5.553375,6,457.049446
-6.959914,3,457.90259
-1.356938,6,458.948491
-4.675571,5,460.255436
-2.439184,4,461.321705
-8.336193,5,462.612757
-1.11415,4,463.698097
-2.130257,5,465.092786
-2.883325,5,466.126579
-2.200588,5,467.231857
-4.74347,6,468.541305
-2.518811,5,469.751061
-2.146313,4,470.804806
-3.353618,5,471.994697
-1.821064,4,473.13269
-8.257743,5,474.248754
-7.003249,3,475.164245
-1.374905,4,476.188164
-3.08712,5,477.424288
-2.225188,4,478.435143
-4.197513,5,479.464301
-1.544646,4,480.584218
-2.798171,6,481.8501
-2.773068,5,483.040637
-1.856176,4,484.202729
-2.20204,5,485.451125
-1.886063,4,486.501769
-7.099744,5,487.697575
-2.043955,4,488.699066
-5.131789,9,490.119182
-7.740907,5,491.340428
-2.431161,5,492.655007
-3.009052,8,494.130223
-7.504607,5,495.467478
-1.914027,4,496.616688
-1.275856,4,497.635209
-7.060446,5,498.709256
-2.580777,5,499.937698
-2.966225,9,501.353387
-7.265188,3,502.251014
-11.598243,5,503.516844
-2.325358,5,504.703723
-2.302391,5,505.864366
-1.904447,4,507.070909
-2.78452,6,508.399466
-2.146959,4,509.448444
-4.81361,5,510.637408
-2.684084,6,511.863813
-3.783859,6,513.306515
-11.148947,5,514.526121
-11.627031,3,515.385695
-0.676333,3,516.213166
-10.726324,4,517.288869
-2.658969,5,518.595061
-5.420674,6,520.000656
-2.087402,4,521.040707
-2.25616,5,522.395541
-3.414174,4,523.412682
-10.256035,7,524.988332
-4.911892,7,526.316046
-7.784445,7,527.629443
-7.410243,6,529.213682
-2.421531,5,530.46
-6.756952,3,531.243064
-2.406019,5,532.543505
-2.19612,5,533.874519
-2.233718,5,535.152768
-3.72485,5,536.336603
-2.831963,5,537.635854
-2.69338,8,538.941413
-8.220776,4,540.030675
-2.507512,5,541.199726
-3.573395,5,542.712847
-7.960528,5,544.245277
-2.287245,5,545.798523
-2.084023,4,546.970511
-2.551688,5,548.375281
-11.294317,7,550.077431
-4.699755,5,551.446311
-6.912714,3,552.399492
-11.079323,4,553.479544
-7.074079,3,554.369066
-1.870661,5,555.63742
-7.005576,4,556.789956
-2.117011,5,558.102364
-4.216179,4,559.328004
-6.670408,5,560.667202
-1.991617,4,562.120259
-7.073413,3,563.364949
-2.259192,5,564.713536
-3.58463,7,566.316704
-6.896207,6,567.66075
-2.852717,5,569.116226
-2.368684,5,570.453437
-8.388331,5,571.768665
-5.046791,6,573.198092
-2.138429,5,574.514919
-8.954788,6,576.233874
-6.882218,3,577.094534
-4.603132,5,578.609946
-2.155627,5,579.898209
-1.02283,3,580.827177
-1.757168,6,582.184988
-2.403678,5,583.579925
-3.574505,5,584.925582
-3.197886,5,586.057916
-11.137729,3,587.143751
-2.459551,7,588.647926
-1.777652,4,589.844753
-2.358073,5,591.321438
-6.897089,3,592.336699
-11.53505,4,593.462924
-1.932385,4,594.55585
-7.742366,7,596.127538
-1.819463,4,597.3364
-7.161814,6,598.812898
-2.812835,5,600.205333
-4.038969,4,601.470934
-2.255389,5,603.082044
-2.236591,6,604.74993
-2.472541,4,605.918287
-1.852301,4,607.220709
-2.403751,5,608.664296
-1.996293,5,610.123973
-7.009084,4,611.24783
-1.908484,4,612.532926
-1.924222,4,613.671029
-2.580425,5,615.032164
-3.845972,4,616.166914
-7.228673,7,617.874666
-7.443577,5,619.169616
-11.404034,4,620.530082
-1.160618,4,621.874474
-2.2548,4,622.942039
-1.108869,4,624.083184
-7.073982,3,625.009124
-2.448335,5,626.419326
-0.856647,5,627.571111
-2.185187,5,628.838113
-1.287246,4,629.966823
-3.538385,5,631.126327
-2.591047,6,632.447879
-5.666407,3,633.299458
-2.459583,5,634.416952
-2.043622,5,635.64609
-0.895729,3,636.515569
-3.471341,6,637.731234
-1.790832,4,638.874576
-2.372117,5,640.39397
-0.840654,4,641.548157
-2.419422,6,643.056465
-7.555306,6,644.73297
-12.089105,5,646.220438
-7.24939,5,647.533359
-0.981722,3,648.344902
-1.491762,4,649.636999
-7.607269,7,651.209412
-6.506036,6,652.79675
-7.247553,5,654.138963
-3.424058,5,655.487515
-0.995609,4,656.795242
-4.470974,5,658.446777
-4.074311,7,659.917169
-7.04035,5,661.416148
-11.002545,4,662.605236
-0.939969,4,663.730439
-2.476226,5,665.065441
-2.20958,5,666.444795
-9.23485,8,668.320618
-0.969522,4,669.428851
-2.041563,4,670.447336
-2.370103,5,671.817784
-1.085178,4,672.976492
-1.717066,5,674.28022
-7.460889,5,675.629917
-1.676929,4,676.926747
-7.74791,12,678.978515
-2.75298,6,680.503441
-1.085464,5,681.532275
-1.911371,4,682.817595
-1.653231,4,684.129088
-2.752997,8,685.763917
-2.313946,5,687.166116
-1.515484,4,688.335474
-1.844997,4,689.464609
-3.896956,9,690.778391
-2.00007,4,691.90618
-6.879669,4,693.003214
-6.889635,4,694.201214
-1.665805,4,695.432778
-7.133785,3,696.38424
-0.657242,3,697.302872
-2.644172,4,698.375511
-8.933089,14,700.406661
-6.904103,4,701.583172
-2.41691,4,702.609146
-2.644767,6,703.996571
-3.938836,6,705.46266
-7.712563,8,707.285917
-7.087564,3,708.306534
-2.479918,5,709.475719
-0.785126,3,710.399373
-2.755013,6,711.751012
-3.80267,4,712.890267
-6.989735,3,713.846271
-7.5193,6,715.05493
-1.654984,4,716.159319
-7.036147,5,717.582267
-6.987416,5,719.007238
-3.795197,4,720.142993
-2.379859,5,721.421496
-2.641489,6,722.71618
-2.067117,5,723.804855
-1.391929,4,724.961467
-1.029858,4,725.981474
-2.536105,5,727.287731
-1.864076,4,728.457561
-3.186154,5,729.748055
-1.894552,4,730.895305
-9.399541,5,732.169997
-4.82246,5,733.589903
-11.640943,4,734.649822
-2.181404,5,736.102133
-2.304109,5,737.399301
-11.104381,3,738.20007
-7.700758,7,739.539434
-7.123194,3,740.320245
-1.554729,4,741.453157
-2.012973,4,742.542664
-7.593659,6,744.014974
-2.117976,5,745.318129
-2.556148,5,746.679869
-5.144807,5,748.184466
-4.007398,7,749.749926
-9.087861,6,751.377857
-2.647832,8,752.940664
-6.763437,4,754.092119
-2.521458,5,755.550636
-2.474411,5,756.912581
-2.306494,5,758.294109
-2.517668,5,759.550064
-1.728831,4,760.663592
-3.005864,3,761.647862
-7.061229,3,762.572626
-7.902198,7,764.170132
-2.537584,5,765.583765
-2.620151,5,766.874512
-2.678595,8,768.241148
-7.00299,4,769.40571
-3.101298,6,770.796202
-7.284486,6,772.127341
-2.524087,5,773.444894
-2.091854,5,774.754627
-1.091061,4,775.806598
-1.439307,4,777.01151
-5.210611,4,778.182257
-3.627581,6,779.475074
-6.895102,5,780.832913
-4.257124,4,782.133417
-1.929273,5,783.532315
-0.769035,3,784.516761
-3.721998,4,785.672926
-2.147003,4,786.820281
-2.63986,4,787.954727
-10.732031,3,788.829075
-7.8072,8,790.944666
-7.629888,7,792.63782
-2.026613,4,793.815639
-2.147251,4,794.844646
-1.868311,4,796.046941
-2.484534,5,797.308346
-2.135442,4,798.414155
-7.005235,3,799.249192
-2.791602,6,800.602731
-2.737451,6,802.131441
-2.201651,5,803.57949
-1.833128,4,804.701673
-1.772358,6,806.076287
-7.619787,7,807.485755
-0.882704,4,808.779573
-1.925682,5,810.068267
-2.028182,4,811.297969
-4.875532,6,813.124593
-7.130047,3,814.138269
-3.03417,5,815.721188
-2.471368,5,817.196121
-7.104194,5,818.541799
-1.715298,3,819.456096
-4.670544,5,820.766431
-2.582481,5,822.030751
-2.112765,5,823.170024
