#{"t_start": 1713877984.230079, "env_id": "None"}
r,l,t
-123.687407,40,29.83521
-127.640274,40,33.814103
-195.654846,40,40.858177
-200.457831,40,47.002375
-121.989369,40,51.561089
-44.005524,35,54.755616
-6.037047,10,56.119528
-10.913707,14,57.733417
-51.817653,15,59.45463
-12.196973,23,61.883922
-11.98826,16,63.565926
-42.024252,19,65.279316
-12.132,17,66.9084
-21.035271,26,69.037495
-39.245808,32,71.602147
-12.718029,11,73.018999
-40.223385,12,74.149005
-9.548996,13,75.631026
-8.377812,24,77.832386
-26.30635,9,79.388361
-8.487981,11,80.717418
-35.769934,29,83.211188
-7.834257,9,84.461465
-29.614184,8,85.479944
-56.205837,13,86.758238
-12.589679,20,88.61954
-11.077592,19,90.396536
-25.034932,12,91.938086
-10.404129,16,93.457031
-14.437894,26,95.281454
-16.295491,40,97.953266
-8.511252,21,99.808705
-8.828479,20,101.426301
-10.342998,16,103.176964
-21.520367,17,104.851112
-7.779452,13,106.395098
-8.696769,18,107.868503
-9.604406,9,108.928597
-18.145985,33,111.230471
-10.493059,16,112.604815
-8.162433,16,114.249707
-22.925256,9,115.366312
-7.035921,17,117.06718
-12.85133,12,118.557768
-11.07341,18,120.051492
-7.176006,14,121.399609
-11.693666,29,123.677903
-18.141181,40,126.21908
-5.52457,10,127.353904
-22.832512,6,128.508297
-13.051623,12,129.975301
-10.997266,26,132.26602
-7.600735,13,133.682088
-8.788395,21,135.418006
-12.660856,31,137.442948
-6.135007,12,138.688603
-11.278872,11,140.102135
-19.759221,40,142.931075
-4.556782,9,144.208642
-5.837538,12,145.492329
-15.594452,9,146.976395
-13.156648,24,148.758216
-7.881682,14,150.041134
-5.226968,9,151.575448
-7.28857,11,153.766528
-9.034487,15,156.035652
-3.644874,7,157.795477
-8.618192,12,159.816895
-4.177624,7,161.142595
-10.157084,24,162.960737
-2.850007,8,163.995622
-7.239417,13,165.288181
-12.087779,26,167.209938
-12.172076,7,168.542365
-22.982074,6,169.574097
-5.537288,10,170.71385
-13.048731,15,172.320868
-3.946339,9,173.598293
-13.227057,18,175.464416
-5.777469,10,176.704494
-3.959137,9,178.044971
-5.956986,11,179.301198
-5.687041,10,180.588652
-4.36132,14,182.048674
-18.84885,5,182.956612
-5.866019,10,184.422066
-5.40144,10,185.645497
-9.036968,27,187.665628
-5.193328,9,188.985987
