#{"t_start": 1716487018.190776, "env_id": "None"}
r,l,t,num_wraps,c
-324.314617,100,2.755788,0.0,0
-317.407099,94,5.145043,0.8463471518235802,0
-359.76842,100,7.482963,0.0,0
-326.67751,100,9.819337,0.021779516279491,2
-333.063772,100,12.100547,0.0,0
-352.058731,100,14.45555,0.0,0
-325.620649,100,16.835972,0.0,3
-338.567863,100,19.22582,0.0,0
-355.107076,100,22.146672,0.0,0
-337.222247,100,24.646489,0.0,0
-316.44915,100,27.233984,0.0,0
-336.951055,100,29.767405,0.0,0
-330.213832,100,32.280556,0.0,0
-325.829065,100,34.796199,0.0,2
-350.771259,100,37.425887,0.0,0
-343.95229,100,40.046633,0.0,0
-337.790078,100,42.726745,0.0,0
-338.606256,100,45.424281,0.0,4
-320.275308,100,48.064402,0.0,1
-340.656155,100,50.83043,0.0,0
-257.137472,95,53.392276,0.9875151412735524,1
-329.178681,100,56.126868,0.0,3
-337.286962,100,58.920476,0.0,0
-353.073745,100,61.74728,0.0,0
-360.427893,100,64.460997,0.0,0
-317.707261,100,67.33101,0.0,0
-332.639598,100,69.94205,0.0,5
-361.195379,100,72.547956,0.0,0
-330.220138,100,75.218426,0.0,0
-333.968101,100,77.923009,0.0,0
-317.513373,100,80.669742,0.0,0
-349.931631,100,83.393348,0.0,1
-361.7716,100,86.109447,0.0,0
-336.208314,100,88.867009,0.0,0
-319.060161,100,91.536387,0.0,0
-326.540955,100,94.338837,0.0,0
-338.233473,100,97.061994,0.0,3
-316.710388,100,99.744475,0.0,0
-339.98523,100,102.492084,0.0,0
-319.284646,100,105.148192,0.0,1
-327.863624,100,107.851709,0.0,0
-300.688437,100,110.684698,0.06329087666053022,2
-297.660521,100,113.377721,0.09994206948144493,1
-333.429127,100,116.169751,0.0,0
-313.128696,100,118.930044,0.0,0
-313.921044,100,121.658626,0.0,0
-311.608204,100,124.384219,0.0,1
-303.903144,100,127.08011,0.0,0
-302.250071,100,129.854417,0.0,0
-315.354843,100,132.513821,0.0,0
-312.376285,100,137.959192,0.0,2
-318.043451,100,141.313552,0.0,0
-322.044359,100,144.150062,0.0,0
-311.256411,100,146.760638,0.0,0
-314.326366,100,149.619864,0.0,0
-310.193803,100,152.670854,0.0,1
-308.741016,100,155.593965,0.0,0
-308.214664,100,158.407157,0.0,0
-293.885505,100,161.049277,0.0,2
-297.409472,100,163.788192,0.0,0
-311.400539,100,166.671714,0.0,0
-305.391451,100,169.542085,0.0,0
-55.142848,24,170.535474,0.7662219481475611,0
-305.98739,100,174.00856,0.09742509026387815,0
-306.849496,100,177.110052,0.0,0
-303.27968,100,179.935173,0.0,0
-310.02774,100,182.89396,0.0,1
-303.923185,100,186.039198,0.0,0
-310.963784,100,189.304799,0.0,0
-293.15119,100,192.342887,0.0,0
-299.896994,100,195.073717,0.0,0
-312.199336,100,197.734469,0.0,0
-41.150503,21,198.344796,0.8171339096389254,0
-45.92325,23,199.044063,0.8069593392725054,0
-300.787499,100,201.862395,0.0,1
-134.209212,50,203.333246,0.7538518866011858,0
-40.206499,21,204.022414,0.834251630690835,0
-50.176903,25,204.912391,0.8444790719253906,0
-304.433424,100,207.784436,0.0,0
-220.274237,78,210.05993,0.9995822257639281,0
-299.02723,100,213.154441,0.0,0
-55.086965,26,213.982755,0.8360393410655358,1
-278.327265,100,217.127674,0.018170831696766348,2
-38.778948,21,217.80169,0.9443279518924893,0
-284.588961,100,221.05379,0.0,7
-52.031866,24,221.969216,0.7885536226668872,1
-310.829919,100,224.893169,0.0,0
-43.705705,25,225.684705,0.9903154259227626,0
-308.248006,100,228.645227,0.0,0
-310.611548,100,231.714029,0.0,0
-292.710815,100,234.554436,0.2950427742913959,0
-44.823127,23,235.277617,0.8108700900134858,0
-58.516968,27,236.073354,0.7523612263655322,0
-305.101021,100,238.955271,0.0,0
-292.072868,100,241.729437,0.0,1
-299.891312,100,244.544371,0.0,0
-41.242019,22,245.284974,0.9249043399322623,0
-52.171664,25,246.198794,0.9294169773780494,0
-295.912833,100,249.335582,0.018539578485645882,3
-288.452699,100,252.375616,0.29905917858387304,0
-311.132795,100,255.246005,0.0,0
-292.571329,100,258.03116,0.19201431859373652,0
-305.026153,100,260.70561,0.0,0
-311.15897,100,263.483062,0.0,0
-47.360166,23,264.28995,0.9069041548146509,0
-299.15312,100,267.403559,0.0,0
-37.312597,20,268.138034,0.9997074133866969,0
-304.373708,100,271.604178,0.0,0
-301.369197,100,274.635095,0.0,1
-301.227952,100,277.737052,0.0,0
-308.256349,100,280.50603,0.0,0
-300.559861,100,283.668351,0.0,1
-129.738892,51,287.147882,1.047480537050705,0
-302.681671,100,291.781075,0.0,2
-299.433366,100,295.424691,0.0,0
-304.864952,100,298.366732,0.31076533381700194,0
-307.256128,100,301.410911,0.0,0
-37.320774,20,302.114768,0.9757467114512489,0
-51.038129,24,302.932361,0.78669676348168,0
-307.109299,100,305.934263,0.0,5
-302.736014,100,308.79022,0.0,0
-303.788894,100,311.77402,0.0,0
-299.871862,100,315.067368,0.22709192162417857,0
-288.432277,100,318.335931,0.017682879367721022,3
-301.843841,100,321.510313,0.0,0
-38.742541,20,322.255542,0.9320287779320467,0
-301.073556,100,325.595942,0.0,0
-34.339916,18,326.169632,0.8749635749801323,0
-233.493625,79,328.613949,0.7507254025695558,0
-305.103178,100,331.569973,0.0,1
-304.327839,100,334.674571,0.0,0
-309.403069,100,337.765306,0.0,0
-42.438077,21,338.452972,0.9956161616947243,0
-301.879575,100,341.514541,0.0,0
-303.737654,100,344.540404,0.0,0
-299.701111,100,347.610335,0.0,0
-291.360745,100,350.609658,0.03452793584714111,1
-309.439241,100,353.619121,0.0,0
-35.153612,18,354.19494,0.8452957427208458,0
-313.034795,100,357.438391,0.0,9
-45.993319,21,358.271184,0.7680838379937778,1
-310.276056,100,361.562469,0.0,3
-302.523718,100,364.864611,0.0,0
-52.560955,21,365.539105,0.9017446863750278,1
-305.945269,100,368.780793,0.0,0
-52.967407,22,369.542964,0.7512819452937619,0
-294.415412,100,372.943863,0.0037419150964639832,0
-318.038844,100,376.393515,0.0,10
-308.403748,100,379.701608,0.0,1
-306.751461,100,382.956486,0.0,1
-305.9131,100,386.108388,0.0,0
-312.088553,100,389.475577,0.0,4
-316.88896,100,392.629848,0.0,9
-310.405808,100,395.785392,0.0,0
-311.024313,100,398.815031,0.0,3
-304.919212,100,401.930786,0.0,0
-179.722105,69,403.942607,0.9339053371531528,1
-35.499373,19,404.533269,0.789138334591442,0
-301.670578,100,407.656292,0.0,0
-310.930202,100,410.68459,0.0,2
-34.38566,18,411.271965,0.8091551182682275,0
-309.949774,100,414.171758,0.0,1
-312.319655,98,417.207862,0.7775250130177668,9
-306.29917,100,420.243606,0.0,0
-291.540285,100,423.424166,0.07116463413329512,1
-320.713575,100,426.386534,0.0,3
-305.600287,100,429.530983,0.024491128154423256,6
-316.402804,100,432.39091,0.0,2
-37.079175,19,432.961207,0.9192434628241456,0
-307.269453,100,435.887917,0.0,1
-37.879694,19,436.495483,0.8250834924155749,0
-35.520411,19,437.098568,0.9899446493097475,0
-313.971898,100,440.006382,0.0,2
-320.799088,100,442.841746,0.0,7
-38.433473,19,443.462024,0.9348400276182277,0
-35.579139,19,444.051863,0.8419441769730452,0
-317.992412,100,449.041331,0.0,0
-313.307641,100,453.288579,0.0,1
-305.467764,100,456.914542,0.0,0
-319.270058,100,460.389231,0.0,2
-306.597518,100,463.674806,0.0,0
-304.462065,100,467.006034,0.0,2
-73.587934,31,468.078051,0.9721285698952431,1
-300.680146,100,471.381101,0.0,0
-289.103958,100,474.96088,0.061778311649300595,2
-292.589825,100,478.468437,0.018730344960189393,2
-314.691385,100,481.619995,0.0,0
-311.217987,100,484.904906,0.12902378514890153,0
-307.901366,100,488.118579,0.0,0
-309.08666,100,491.080297,0.0,0
-122.552357,51,492.577671,1.0397153553728107,0
-41.933062,21,493.243345,0.8422292590848792,0
-300.811833,100,496.584724,0.0,0
-117.955986,43,498.126403,0.7814261526259719,0
-306.354639,100,501.712461,0.0,1
-292.888599,100,505.306176,0.07214809887980958,0
-305.093259,100,508.64381,0.0,2
-308.463366,100,512.08962,0.0,2
-286.421875,100,515.578046,0.04021560380268599,2
-227.989484,78,518.399344,0.7784980134633679,2
-289.659704,100,521.913892,0.01603565926644664,1
-119.807694,42,523.381936,0.7640911092969189,0
-301.173058,100,526.448526,0.0,0
-35.67859,19,527.071469,0.866338109447266,0
-302.719363,100,530.597917,0.11054702311558348,2
-37.572658,20,531.263894,0.9096222788990682,0
-309.964689,100,534.638398,0.0,0
-305.850107,100,537.945076,0.0,2
-309.43091,100,541.325521,0.0,2
-308.670604,100,544.589755,0.0,0
-178.46214,61,546.763951,0.7559872990910823,2
-311.246217,100,550.323517,0.0,0
-54.718504,23,551.241031,0.7670811338074243,0
-291.600282,100,554.846434,0.04469248604351128,2
-38.330674,19,555.484049,0.8201594373299904,0
-305.324306,100,558.534625,0.0,1
-303.217247,100,561.7482,0.0,1
-293.779925,100,565.02403,0.15276965012134883,3
-306.495078,100,568.172084,0.0,0
-43.012986,20,568.837653,0.7520127099102238,0
-300.052633,100,572.206658,0.0,0
-294.503034,100,575.353644,0.006795323535741482,0
-309.638037,100,579.103357,0.0,0
-246.640857,84,581.883292,0.77134021862968,1
-300.590082,100,584.984454,0.0,0
-40.270283,21,585.676563,0.826664798072419,0
-44.244157,22,586.421983,0.8930983663379611,0
-146.867487,59,588.095097,2.391105419301312,1
-47.57992,22,588.802072,0.7507368973826202,1
-305.188068,100,591.768267,0.0,1
-199.122554,69,593.952765,0.7547814861228849,2
-304.681246,100,597.141732,0.0,4
-320.300767,100,600.224533,0.0,0
-237.904155,77,602.649792,0.753272555579326,1
-204.742903,70,605.002075,0.7592689089842095,1
-56.072555,24,605.841496,0.8653488438947684,0
-302.178116,100,609.235477,0.0,1
-45.259877,22,610.193946,0.8442707681665228,0
-45.56095,22,611.037864,0.8311031294070544,0
-246.318687,85,614.41933,0.7519124524350966,0
-320.522894,100,621.830613,0.0,0
-318.933291,100,625.63033,0.0,1
-41.032797,21,626.398446,0.9885651604867165,0
-46.262189,22,627.291133,0.9681843184208737,0
-319.046784,100,630.813943,0.0,0
-183.614504,63,633.105826,0.7533258951093946,0
-45.610153,22,634.081094,0.9522855634135972,0
-326.592614,100,638.03421,0.0,0
-326.343425,100,642.659004,0.0,1
-317.141486,100,647.205916,0.0,0
-320.932092,100,652.915281,0.0,0
-42.524853,21,653.980137,0.8650329599404064,0
-173.268167,61,656.500049,0.755065265537185,3
-41.002221,21,657.505415,0.7808125841090939,0
-324.275881,100,662.059011,0.0,0
-43.754796,21,662.954297,0.8423347883768483,0
-328.895728,100,667.158165,0.0,0
-322.003758,100,671.235397,0.0,0
-66.165938,25,672.352202,0.7709498192559536,0
-323.866899,100,676.308484,0.0,2
-323.781191,100,680.001993,0.0,0
-325.42385,100,683.866109,0.0,0
-44.050019,22,684.699557,0.8725241161602175,0
-61.730449,27,685.73298,0.7531487319588733,0
-327.817059,100,689.46698,0.0,0
