#{"t_start": 1715771408.717178, "env_id": "None"}
r,l,t,num_wraps,c
-110.271883,60,1.725287,0.0,0
-103.282332,60,3.180975,0.0,0
-97.323536,60,4.732233,0.0,0
-103.978482,60,6.099825,0.0,0
-113.648664,60,7.338786,0.0,0
-100.234636,60,8.582943,0.0,0
-115.775648,60,10.040033,0.0,0
-105.385541,60,11.45175,0.0,0
-94.245413,60,13.084996,0.0,0
-112.797798,60,14.874448,0.0,0
-113.203463,60,16.738191,0.0,0
-101.920989,60,18.394221,0.0,0
-106.977323,60,20.003091,0.0,0
-111.779692,60,21.66669,0.0,0
-113.447217,60,23.355704,0.0,0
-104.39336,60,25.023126,0.0,0
-100.932819,60,26.800882,0.0,0
-95.254616,59,28.515817,0.750395368966217,0
-99.923125,60,30.341264,0.0,0
-98.280871,60,32.132051,0.0,0
-118.417793,60,34.143843,0.0,0
-115.814367,60,35.864414,0.0,0
-60.930333,36,36.995293,0.751293603010355,0
-107.719811,60,38.775233,0.0,0
-103.953012,60,40.641869,0.0,0
-102.374187,60,42.592942,0.0,0
-112.243848,60,44.685716,0.0,0
-97.874818,60,46.649936,0.0,0
-100.8978,60,48.491637,0.0,0
-109.900238,60,50.059794,0.0,0
-106.846232,60,51.479851,0.0,0
-98.996523,60,52.838256,0.0,0
-91.208349,60,54.142162,0.10377404042653685,0
-110.722683,60,55.562212,0.0,0
-96.1677,60,56.996256,0.0,0
-100.926856,60,58.399434,0.0,0
-101.059051,60,59.815956,0.13649068797609262,0
-110.928751,60,61.299216,0.0,0
-113.753149,60,62.832497,0.0,0
-92.810825,60,64.253934,0.0,0
-110.692938,60,65.591889,0.0,0
-92.608764,60,66.99243,0.0,0
-96.024178,60,68.383943,0.0,0
-109.598236,60,69.721214,0.0,0
-101.659582,60,71.018217,0.0,0
-99.912452,60,72.375676,0.0,0
-94.585662,60,73.825345,0.0,1
-94.727596,60,75.321384,0.0,0
-96.523204,60,76.804286,0.0,0
-112.020714,60,78.229022,0.0,0
-107.817401,60,79.677037,0.0,0
-97.430334,60,81.09755,0.0,0
-98.172374,60,82.521826,0.0,2
-116.512745,60,83.947866,0.0,3
-90.69008,60,85.303602,0.0,0
-104.339148,60,87.339054,0.0,0
-96.408956,60,89.530795,0.0,2
-111.077508,60,91.629752,0.0,0
-90.924201,60,94.694906,0.0,0
-92.800102,60,96.276321,0.0,0
-91.72481,60,97.774121,0.0,0
-121.044828,60,99.086282,0.0,0
-92.276225,60,100.381191,0.0,1
-93.585437,60,101.731617,0.0,0
-93.641336,60,103.11716,0.0,2
-105.542084,60,104.475816,0.0,1
-94.774286,60,105.929664,0.0,0
-118.01931,60,107.303537,0.0,0
-82.593607,60,108.755906,0.0638773083569478,0
-122.827266,60,110.068784,0.0,0
-95.456874,60,111.448801,0.0,0
-92.0992,60,112.791587,0.0,1
-103.168729,60,114.161505,0.0,0
-89.460866,60,115.506619,0.0,0
-95.952966,60,116.908506,0.0,0
-93.478659,60,118.348248,0.20348181892854802,2
-89.493754,60,119.797088,0.0,0
-109.633944,60,121.235872,0.0,3
-88.384443,60,122.655176,0.0,0
-90.41258,60,124.210805,0.0,2
-101.610574,60,125.874789,0.10813824909863011,6
-98.871565,60,127.304763,0.05061317485459073,3
-91.71757,60,128.796085,0.0,0
-89.291539,60,134.852825,0.2813661502086401,0
-22.926089,15,135.238316,0.7557061016669906,0
