#{"t_start": 1716845508.897266, "env_id": "None"}
r,l,t,num_wraps,c
-368.227934,100,1.594393,0.0,0
-336.393323,100,4.429741,0.0,0
-359.505521,100,7.33109,0.0,0
-366.520159,100,9.606202,0.0,0
-343.534172,100,11.951883,0.0,0
-335.203605,100,14.26502,0.0,0
-360.343784,100,16.647682,0.0,0
-320.059331,100,19.025529,0.0,2
-341.677915,100,21.515781,0.0,0
-357.698393,100,24.200008,0.0,0
-358.312622,100,27.071914,0.0,0
-343.813435,100,30.236727,0.0,0
-347.606331,100,33.458092,0.0,0
-347.128135,100,36.743673,0.0,0
-345.512027,100,40.313147,0.0,0
-343.39688,100,43.899118,0.0,0
-330.82967,100,47.626427,0.059742282205673576,0
-333.506974,100,51.643186,0.0,0
-309.848509,100,56.34669,0.7174020404119724,1
-343.992785,100,61.496723,0.0,0
-351.521475,100,66.273387,0.0,6
-341.639095,100,70.448618,0.0,0
-314.272328,100,74.719402,0.0,0
-356.929932,100,78.750852,0.0,3
-348.28023,100,83.048723,0.0,0
-342.849719,100,87.15933,0.0,1
-303.632964,100,91.540547,0.08476172540572972,0
-323.261853,100,95.559765,0.12907841296785583,1
-364.169826,100,99.613899,0.0,3
-353.513344,100,103.814592,0.0,2
-179.142008,58,106.305004,0.7711042665146879,3
-337.78418,100,110.59226,0.0,4
-347.756238,100,115.674353,0.0,0
-348.812375,100,124.259954,0.0,0
-336.67784,100,128.516675,0.0,1
-336.006194,100,132.701791,0.19406840492515245,5
-335.178121,100,138.877753,0.260272594673074,2
-320.103896,100,142.501634,0.0,3
-339.026725,100,145.713806,0.0,0
-335.471362,100,148.894779,0.26237045798943764,4
-289.158922,100,152.577608,1.009347456953958,2
-317.39856,100,155.764458,0.0,1
-331.086781,100,158.918673,0.0,3
-314.412607,100,161.974808,0.0,2
-313.458723,100,165.00414,0.0,1
-328.064001,100,167.930438,0.0,2
-321.894397,100,170.835261,0.0,3
-307.431903,100,173.763731,0.0,1
-300.346193,100,176.810279,0.0,1
-318.517715,100,179.735304,0.0,4
-307.160701,100,182.830213,0.0,1
-298.902493,100,186.157624,0.9057644589632593,4
-303.285187,100,189.248199,0.37492312444884657,1
-235.073202,100,192.33397,0.12740630325886265,3
-313.440245,100,195.44711,0.0,1
