#{"t_start": 1716906494.020857, "env_id": "None"}
r,l,t,num_wraps,c
-364.363575,100,3.437845,0.0,0
-353.121084,100,6.482679,0.0,0
-362.055408,100,9.030201,0.0,0
-340.758108,100,11.733494,0.0,0
-348.804108,100,14.534078,0.0,0
-348.653313,100,17.256978,0.0,0
-357.922517,100,19.936366,0.0,0
-347.228118,100,22.866456,0.0,0
-329.328075,100,25.9447,0.0,0
-355.916764,100,28.923774,0.0,0
-356.134518,100,31.817697,0.0,0
-328.805061,100,34.826615,0.0,0
-362.117495,100,37.895429,0.0,0
-311.127081,100,41.073426,0.2961479882534819,0
-349.857556,100,44.214579,0.0,0
-315.034336,100,47.858603,0.0,0
-329.22273,100,51.136823,0.0,1
-321.615657,100,54.629942,0.0,0
-336.815288,100,58.263427,0.0,8
-294.544996,100,61.609576,0.0,0
-344.811802,100,64.928434,0.0,0
-327.83546,100,68.164889,0.0,0
-315.813757,100,71.52599,0.2583620969136717,0
-347.433365,100,74.88944,0.0,0
-347.446652,100,78.387097,0.0,2
-332.904523,100,81.596012,0.0,0
-319.069941,100,85.160522,0.0,4
-324.849679,100,88.433381,0.0,0
-328.770446,100,91.638597,0.0,1
-217.666135,100,94.836372,0.0,1
-342.495198,100,97.796993,0.0,10
-339.357895,100,100.847396,0.0,0
-328.225788,100,103.972067,0.0,1
-326.175447,100,107.11346,0.0,0
-322.512358,100,110.195016,0.0,0
-331.353306,100,113.10884,0.0,0
-317.662573,100,116.184512,0.0,0
-325.14107,100,119.54632,0.0,0
-320.200293,100,122.698808,0.0,2
-306.179596,100,125.999336,0.0,0
-317.659815,100,129.1218,0.0,2
-311.086079,100,132.433684,0.0,0
-290.888973,100,135.384563,0.0,2
-326.822239,100,138.431621,0.0,0
-314.844186,100,141.618797,0.0,0
-309.243685,100,144.739315,0.0,0
-319.553467,100,147.819711,0.0,0
-290.000203,100,150.98618,0.7491334843271894,1
-314.069134,100,154.144155,0.0,1
-262.856451,100,157.100245,0.0,0
-307.491128,100,180.156295,0.0,0
-293.384987,100,184.298303,0.005088215543994793,0
-302.166003,100,188.000143,0.0,0
-307.282148,100,191.085153,0.8821899292626467,0
-296.987865,100,194.271652,0.44225002594937607,0
-266.610263,100,197.448558,0.0,0
-303.479628,100,200.951761,0.0,0
-314.754048,100,204.340424,0.0,0
-312.765671,100,207.82899,0.0,0
-252.254513,100,211.463967,0.0,0
-317.666426,100,215.025257,0.0,0
-245.405467,100,218.825653,0.0,0
-305.744571,100,222.151998,0.0,0
-222.913777,100,225.393957,0.0,0
-313.524435,100,228.510449,0.0,0
-277.040359,100,231.789316,0.0,0
-265.117487,100,235.026071,0.0,0
-307.352689,100,238.295207,0.0,0
-226.352893,100,241.685489,0.0,0
-313.819763,100,244.934412,0.0,0
-181.084231,100,248.544739,0.6019357333134451,0
-315.356145,100,252.026205,0.0,0
-218.133416,100,255.435662,0.0,0
-257.013527,100,258.700652,0.0,0
-294.744853,100,262.169124,0.0,0
-252.670585,100,265.645652,0.0,0
-316.711463,100,269.010726,0.0,0
-309.803953,100,272.281871,0.0,0
-314.504499,100,275.568367,0.0,0
-318.70245,100,278.852396,0.0,0
-317.752979,100,282.199605,0.0,0
-305.664547,100,285.439808,0.0,0
-152.002698,100,288.816624,0.0,0
-302.604069,100,292.339933,0.0,0
-317.725466,100,295.447895,0.0,0
-305.448739,100,298.705673,0.0,0
-312.196674,100,301.875745,0.0,0
-229.62635,100,305.104728,0.0,0
-247.521639,100,308.242891,0.0,0
-215.604535,100,311.396602,0.8691418893050464,0
-233.418259,100,314.960575,0.0,0
-271.930272,100,318.096808,0.0,0
-311.844235,100,321.331163,0.0,0
-298.444427,100,324.510189,0.0,0
-299.013529,100,327.79489,0.0,0
