#{"t_start": 1714988424.571715, "env_id": "None"}
r,l,t,num_wraps,c
-779.252508,60,8.515073,0.0,0
-899.360471,60,9.680945,0.0,0
-924.360467,60,10.95703,0.0,0
-480.9174,60,12.02593,0.0,0
-597.17004,60,12.994818,0.0,0
-320.006481,60,13.871682,0.0,0
-282.47304,60,14.843128,0.0,0
-35.352449,15,15.117039,2.0092556226458265,0
-234.59911,60,16.084071,0.0,0
-174.749993,60,22.994202,0.0,0
-11.182926,8,23.171788,2.0197492445087066,0
-316.135091,60,24.145937,0.0,0
-68.342787,22,24.519482,2.012126301850771,1
-64.704494,23,24.879647,2.001053618054008,0
-245.593386,60,26.234619,0.0,0
-214.083518,60,27.313021,0.0,0
-185.462713,60,28.506034,0.0,0
-203.728683,60,29.576542,0.0,0
-178.812637,60,30.602505,0.0,0
-197.776921,60,38.4091,0.0,0
-211.69081,60,39.617,0.0,0
-16.574529,10,39.855737,2.2511947389314493,0
-148.545181,47,40.917472,2.023561019943495,0
-50.943398,18,41.759209,2.043627717815741,0
-211.062288,59,44.754998,2.8100140794407507,0
-189.861026,60,46.244738,0.0,2
-31.438187,41,47.374679,2.0848975006628048,0
-8.460629,6,47.568544,2.2202602351600023,0
-36.283746,18,48.243419,2.0261444022490758,0
-10.344998,5,48.587063,2.018312953819531,0
-163.230064,60,51.087624,0.0,2
-45.445895,19,52.054985,2.0369562604331333,0
-51.235343,27,52.743641,2.0901701481974353,1
-120.79589,48,62.548219,2.4568284274009753,0
-32.679182,20,63.271943,2.011807380013114,0
-79.836702,42,64.722585,2.3817875134332804,1
-102.667883,47,66.202442,2.828434637281823,0
-10.134739,10,66.623705,2.1630902641800205,0
-112.287132,60,68.972673,1.0365629937565037,0
-83.962829,47,70.372413,2.0827818821927355,0
-109.254387,60,72.320126,0.0,0
-72.599229,41,73.664282,2.1115628923853724,1
-82.956375,60,75.639387,0.0,0
-57.492991,47,77.199892,2.3163766176527933,0
-115.460695,60,79.201501,0.0,2
-99.041314,60,88.952703,0.0,0
-16.968448,12,89.350559,2.0266406446624843,0
-51.206218,32,90.316115,2.1364263590412684,0
-106.745411,60,92.144307,0.0,0
-10.415969,9,92.535953,2.0300531265434727,0
-25.290002,16,93.150368,2.0654478203235858,1
-45.987075,26,93.977373,2.0083635562908904,0
-84.619058,60,95.929274,0.0,0
-56.372068,38,97.166415,2.047588899696336,0
-21.814712,15,97.673459,2.0066010331056585,0
-120.576855,60,99.466455,0.0,0
-73.806533,51,100.98526,2.0214053442373237,0
-30.841189,26,101.92775,2.0583273166319573,0
-46.078893,22,102.712057,2.0107553782743075,0
-14.391663,7,102.939183,2.0281330294675883,0
-60.445269,34,111.278268,2.0056187844236657,0
-109.027382,60,112.707701,0.0,0
-107.849925,60,114.128469,0.0,0
-53.367793,42,115.185885,2.031282093649651,1
2.500449,14,115.581344,2.045343993111989,0
-66.821978,55,117.028225,2.0936807135823505,0
-89.067853,60,118.606171,0.0,0
-24.798047,13,118.937359,2.3030782299622294,0
-87.562168,60,120.446737,0.0,0
-90.197894,60,121.973967,0.0,0
-13.081581,25,122.658997,2.0110809229080098,0
-22.372231,12,122.962598,2.021250207150659,0
