#{"t_start": 1714563549.446337, "env_id": "None"}
r,l,t
-833.853843,60,13.083139
-974.745761,60,14.296906
-996.273469,60,15.599452
-514.910042,60,16.627229
-650.745364,60,17.640316
-358.683485,60,18.6802
-320.349014,60,19.788333
-172.478932,60,20.906024
-197.7194,60,22.01846
-69.768826,45,22.811861
-195.791594,60,23.930377
-284.75732,60,25.17856
-202.429437,60,26.193778
-175.591347,60,27.212996
-202.119727,60,28.343577
-27.87762,13,28.599044
-146.005435,60,29.770763
-182.16454,60,30.884162
-84.276848,44,31.653188
-164.895776,60,32.780717
-39.962609,16,33.096675
-70.093619,42,33.97245
-85.743565,39,34.68553
-139.122239,55,35.776993
-13.157925,7,35.91898
-103.755826,60,37.177616
-30.670102,13,37.448164
-142.480003,60,38.617946
-56.537371,20,39.087264
-63.908967,42,39.905316
-96.118926,60,41.101184
-51.375018,46,42.016517
-52.342096,28,42.61548
-107.41532,60,43.786656
-109.290499,60,44.922923
-103.574528,53,45.918541
-10.957864,55,47.007906
-27.146303,57,48.210136
8.933693,46,49.152927
-87.316934,60,50.292922
-24.945742,60,51.496607
-49.299617,25,52.041881
44.31024,40,52.953686
-49.407772,29,53.550876
-18.998998,10,53.772292
-93.153405,60,55.013444
-129.366681,60,56.31696
-56.510258,60,57.624436
-110.01179,60,58.877082
-43.133994,60,60.166263
-75.860433,60,61.510439
-68.507145,60,62.774432
-89.192491,60,64.005931
-90.115651,60,65.244999
-36.346474,31,65.892231
-78.864418,60,67.139205
-45.690003,60,68.345878
-101.520979,60,69.638907
-85.698101,60,70.935874
-25.563525,60,72.234588
1.500312,60,73.596973
-91.902064,60,74.889461
-89.677579,60,76.138215
-71.468454,60,77.438691
-106.514471,60,78.7627
-71.943168,60,80.128762
-101.7909,60,81.459894
-87.647585,60,82.738487
-86.556324,60,84.074013
-35.493558,60,85.406865
-50.245713,60,86.757398
-14.381298,60,88.057391
-70.05983,60,89.377049
-103.060317,60,90.657563
-102.168548,60,92.024139
-73.925092,60,93.274417
-2.529961,18,93.70065
-78.760352,60,94.998312
-45.200349,60,96.293962
-64.254638,60,97.567217
-56.987662,60,98.97664
12.476413,60,100.317894
-71.616733,60,101.65756
-84.63268,60,102.994999
-32.660192,26,103.562739
-80.933735,60,104.853132
-36.252386,60,106.225219
-64.634101,60,107.553841
-48.76142,60,108.918593
-79.28904,60,110.283302
-90.429955,60,111.566837
-89.553738,60,112.890362
-9.827211,48,114.01607
-7.921382,60,115.385782
