#{"t_start": 1713097295.1267729, "env_id": "None"}
r,l,t
-18.59435,10,2.49318
-18.586224,10,4.563269
-22.155885,10,6.668056
-27.759421,10,8.873984
-29.202844,10,11.37013
-19.925808,10,13.960531
-15.660525,10,15.9369
-14.063228,10,18.298993
-22.165418,10,20.725616
-18.479456,10,23.115877
-15.656103,10,25.149253
-22.115396,10,27.674406
-15.02425,10,30.131864
-19.991263,10,32.541479
-26.911031,10,35.128369
-16.325193,10,37.532224
-18.95681,10,39.742887
-17.436909,10,42.299771
-24.93329,10,45.017597
-24.090178,10,47.349618
-19.019778,10,49.982253
-24.133517,10,52.640856
-14.329977,10,54.874874
-13.459504,10,56.980395
-25.346335,10,59.573075
-26.131481,10,62.016711
-20.782133,10,64.77989
-16.981888,10,67.004589
-24.36861,10,69.888881
-15.191887,10,72.080296
-21.095761,10,74.186903
-29.130947,10,76.514729
-20.733645,10,78.769918
-24.529231,10,81.346319
-22.609699,10,83.260602
-16.359124,10,85.734334
-14.247633,10,88.33643
-21.044193,10,90.813795
-19.883165,10,93.379246
-25.476404,10,95.727529
-15.495329,10,98.261245
-12.73025,10,100.974949
-25.871749,10,103.56453
-18.447032,10,106.079488
-16.361186,10,108.350943
-30.713312,10,110.797389
-16.19377,10,113.326907
-15.526846,10,115.857662
-16.46183,10,118.261334
-20.628675,10,120.620112
-16.562145,10,123.511838
-20.916547,10,125.930249
-11.222918,10,128.603047
-17.529733,10,131.197953
-18.425008,10,133.682159
-17.104395,10,136.086453
-18.197657,10,138.398078
-16.591473,10,141.086699
-16.936722,10,143.436933
-18.050375,10,145.684401
-21.590014,10,148.046215
-17.771907,10,150.913526
-21.302326,10,153.144004
-12.301918,10,155.45939
-16.132342,10,157.631092
-21.5878,10,160.43317
-20.866111,10,162.370958
-15.85171,10,165.345226
-16.400553,10,167.659624
-32.912659,10,170.197477
-8.166044,10,172.950456
-13.692154,10,175.258
-21.131573,10,178.039268
-15.953568,10,179.953259
-14.585699,10,182.853942
-18.138212,10,185.242829
-12.25498,10,187.682078
-18.032043,10,190.300045
-19.852645,10,192.697445
-8.508956,10,195.437711
-9.344815,10,197.846728
-16.417762,10,200.509841
-19.45954,10,202.69061
-19.682262,10,205.06721
-14.379428,10,207.553679
-14.703395,10,210.108531
-17.427688,10,212.751316
-13.111645,10,215.115738
-11.959143,10,217.334337
-19.944553,10,219.814854
-14.603435,10,223.278857
-16.046262,10,225.567022
-16.239712,10,228.289018
-14.74794,10,231.281446
-10.721934,10,233.87613
-9.022595,10,236.636102
-12.097122,10,239.873678
-17.398729,10,242.504382
-12.924681,10,244.713236
-14.665124,10,246.987499
-14.403997,10,249.285836
-12.808709,10,251.659442
-12.806759,10,254.377662
-16.098186,10,257.246241
-7.071128,9,259.725188
-12.168762,10,262.078952
-17.348778,10,264.767007
-11.452932,10,267.486471
-11.738579,10,270.517638
-15.526826,10,272.677961
-14.244594,10,275.136239
-20.612904,10,277.819007
-7.790226,10,280.608319
-10.256602,10,283.529059
-16.356629,10,285.982744
-7.719288,10,288.142177
-12.49705,10,290.551927
-14.296855,10,292.631031
-11.623489,10,295.532954
-15.395973,10,297.947038
-11.069602,10,300.068218
-14.828678,10,302.156647
-16.48964,10,304.281102
-14.179473,10,306.820121
-14.503017,10,309.211013
-14.466869,10,311.749269
-12.38305,10,314.399328
-14.778591,10,317.323463
-10.204102,10,319.994655
-11.393984,10,322.430137
-12.043998,10,324.608782
-11.338051,10,327.195912
-18.00365,10,329.924862
-9.739141,10,332.559372
-9.731789,10,334.981231
-9.812298,10,337.39268
-9.585386,10,340.098833
-14.309597,10,342.559547
-10.967818,10,345.4882
-12.901555,10,348.374736
-14.610718,10,350.600553
-15.158629,10,353.121043
-14.515454,10,355.959553
-9.797735,10,358.611169
